Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGHUN10D,Hungary 10-year Government Bond Yield,Government Bond Yields,Hungary Forint,Hungary,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1999 To Dec 2000<BR>Daily From Jan 2001 To Sep 2023<BR>,"Source: Magyar Nemzeti Bank The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced. Source: Eurostat. Eurostat collects data from the statistical agencies of the 27 member countries of the European Economic Community, candidate countries (Macedonia, Croatia and Turkey), EFTA countries (Iceland, Norway, Liechtenstein and Switzerland) as well as other countries (Japan, Australia, United States). Statistical agencies within each country disseminate their national data to Eurostat in order that it can be made available in a consistent format. ",
Date,Ticker,High,Close,Annual_Percent_Change
04/30/2003,IGHUN10D,6.45,6.19,-9.50292397660818
05/31/2003,IGHUN10D,6.19,5.98,-17.7441540577717
06/30/2003,IGHUN10D,6.71,6.71,-13.0829015544041
07/31/2003,IGHUN10D,7.18,7.18,-5.7742782152231
08/31/2003,IGHUN10D,7.33,7.13,-4.29530201342282
09/30/2003,IGHUN10D,7.26,6.93,-3.48189415041783
10/31/2003,IGHUN10D,7.89,7.89,13.0372492836676
11/30/2003,IGHUN10D,8.94,8.94,34.841628959276
12/31/2003,IGHUN10D,9.33,7.95,23.0650154798762
01/31/2004,IGHUN10D,8.94,8.49,36.9354838709677
02/29/2004,IGHUN10D,8.85,8.45,34.5541401273885
03/31/2004,IGHUN10D,8.3,7.71,20.0934579439252
04/30/2004,IGHUN10D,8.16,8.03,29.7253634894992
05/31/2004,IGHUN10D,8.47,8.33,39.2976588628762
06/30/2004,IGHUN10D,8.84,8.58,27.8688524590164
07/31/2004,IGHUN10D,8.55,8.36,16.4345403899721
08/31/2004,IGHUN10D,8.65,8.65,21.3183730715288
09/30/2004,IGHUN10D,8.87,8.44,21.7893217893218
10/31/2004,IGHUN10D,8.49,7.96,0.887198986058305
11/30/2004,IGHUN10D,7.97,7.54,-15.6599552572707
12/31/2004,IGHUN10D,7.43,7.05,-11.3207547169811
01/31/2005,IGHUN10D,7.37,7.23,-14.8409893992933
02/28/2005,IGHUN10D,7.15,6.62,-22.0259128386337
03/31/2005,IGHUN10D,7.07,6.95,-9.85732814526589
04/30/2005,IGHUN10D,7.06,7.06,-12.079701120797
05/31/2005,IGHUN10D,7.05,7,-15.9663865546219
06/30/2005,IGHUN10D,6.92,6.25,-27.1561771561772
07/31/2005,IGHUN10D,6.32,6.02,-27.9904306220096
08/31/2005,IGHUN10D,6.07,5.52,-36.1849710982659
09/30/2005,IGHUN10D,6.18,6.18,-26.7772511848341
10/31/2005,IGHUN10D,6.73,6.73,-15.4522613065327
11/30/2005,IGHUN10D,7.07,6.71,-11.0079575596817
12/31/2005,IGHUN10D,7.03,6.97,-1.13475177304965
01/31/2006,IGHUN10D,6.95,6.95,-3.87275242047027
02/28/2006,IGHUN10D,6.85,6.8,2.71903323262839
03/31/2006,IGHUN10D,7.18,7.11,2.3021582733813
04/30/2006,IGHUN10D,7.14,6.84,-3.11614730878187
05/31/2006,IGHUN10D,7.02,6.81,-2.71428571428572
06/30/2006,IGHUN10D,7.94,7.94,27.04
07/31/2006,IGHUN10D,7.9,7.24,20.265780730897
08/31/2006,IGHUN10D,7.64,7.6,37.6811594202899
09/30/2006,IGHUN10D,7.67,7.6,22.9773462783172
10/31/2006,IGHUN10D,7.8,7.22,7.28083209509657
11/30/2006,IGHUN10D,7.22,6.9,2.83159463487333
12/31/2006,IGHUN10D,6.94,6.71,-3.73027259684361
01/31/2007,IGHUN10D,7.1,7.05,1.4388489208633
02/28/2007,IGHUN10D,7.06,7,2.94117647058824
03/31/2007,IGHUN10D,6.97,6.68,-6.04781997187061
04/30/2007,IGHUN10D,6.72,6.55,-4.23976608187135
05/31/2007,IGHUN10D,6.58,6.54,-3.9647577092511
06/30/2007,IGHUN10D,6.88,6.63,-16.4987405541562
07/31/2007,IGHUN10D,6.73,6.7,-7.4585635359116
08/31/2007,IGHUN10D,7.02,6.75,-11.1842105263158
09/30/2007,IGHUN10D,6.82,6.62,-12.8947368421053
10/31/2007,IGHUN10D,6.71,6.56,-9.14127423822715
11/30/2007,IGHUN10D,6.93,6.83,-1.01449275362319
12/31/2007,IGHUN10D,7.14,7.08,5.51415797317437
01/31/2008,IGHUN10D,7.28,7.2,2.12765957446809
02/29/2008,IGHUN10D,8.18,8.18,16.8571428571429
03/31/2008,IGHUN10D,9.05,8.56,28.1437125748503
04/30/2008,IGHUN10D,8.45,8.1,23.6641221374046
05/31/2008,IGHUN10D,8.18,8.1,23.8532110091743
06/30/2008,IGHUN10D,8.62,8.5,28.2051282051282
07/31/2008,IGHUN10D,8.57,7.81,16.5671641791045
