Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGROU10D,Romania 10-year Government Bond Yield,Government Bond Yields,Romania New Leu,Romania,,,,,,,Percent per Annum,Units,Stock,NA ,Annual From Dec 2001 To May 2002<BR>Monthly From Jun 2002 To Dec 2007<BR>Daily From Jan 2008 To Jun 2023<BR>,,
Date,Ticker,Close
04/30/2009,IGROU10D,9.45
05/31/2009,IGROU10D,9.25
06/30/2009,IGROU10D,8
07/31/2009,IGROU10D,8.5
08/31/2009,IGROU10D,9
09/30/2009,IGROU10D,9
10/31/2009,IGROU10D,8.25
11/30/2009,IGROU10D,8.5
12/31/2009,IGROU10D,8.501
01/31/2010,IGROU10D,7
02/28/2010,IGROU10D,6.4
03/31/2010,IGROU10D,6.001
04/30/2010,IGROU10D,6.201
05/31/2010,IGROU10D,6
06/30/2010,IGROU10D,7
07/31/2010,IGROU10D,6.95
08/31/2010,IGROU10D,6.75
09/30/2010,IGROU10D,6.95
10/31/2010,IGROU10D,6.95
11/30/2010,IGROU10D,7
12/31/2010,IGROU10D,6.996
01/31/2011,IGROU10D,7
02/28/2011,IGROU10D,6.496
03/31/2011,IGROU10D,7
04/30/2011,IGROU10D,7.002
05/31/2011,IGROU10D,7.043
06/30/2011,IGROU10D,7.043
07/31/2011,IGROU10D,7.36
08/31/2011,IGROU10D,7.391
09/30/2011,IGROU10D,7.297
10/31/2011,IGROU10D,7.22
11/30/2011,IGROU10D,7.191
12/31/2011,IGROU10D,7.147
01/31/2012,IGROU10D,6.947
02/29/2012,IGROU10D,7.28
03/31/2012,IGROU10D,6.75
04/30/2012,IGROU10D,6.599
05/31/2012,IGROU10D,6.85
06/30/2012,IGROU10D,6.9
07/31/2012,IGROU10D,6.6
08/31/2012,IGROU10D,7
09/30/2012,IGROU10D,6.65
10/31/2012,IGROU10D,6.9
11/30/2012,IGROU10D,6.901
12/31/2012,IGROU10D,6.88
01/31/2013,IGROU10D,5.8
02/28/2013,IGROU10D,5.81
03/31/2013,IGROU10D,5.85
04/30/2013,IGROU10D,5.28
05/31/2013,IGROU10D,5.3
06/30/2013,IGROU10D,5.8
07/31/2013,IGROU10D,5.3
08/31/2013,IGROU10D,5.26
09/30/2013,IGROU10D,5
10/31/2013,IGROU10D,5.11
11/30/2013,IGROU10D,5.36
12/31/2013,IGROU10D,5.45
01/31/2014,IGROU10D,5.8
02/28/2014,IGROU10D,5.38
03/31/2014,IGROU10D,5.24
04/30/2014,IGROU10D,5.15
05/31/2014,IGROU10D,4.851
06/30/2014,IGROU10D,4.41
07/31/2014,IGROU10D,4.33
08/31/2014,IGROU10D,4.3
09/30/2014,IGROU10D,4.41
10/31/2014,IGROU10D,3.92
11/30/2014,IGROU10D,3.74
12/31/2014,IGROU10D,3.68
01/31/2015,IGROU10D,2.701
02/28/2015,IGROU10D,2.88
03/31/2015,IGROU10D,3.27
04/30/2015,IGROU10D,3.46
05/31/2015,IGROU10D,3.55
06/30/2015,IGROU10D,4
07/31/2015,IGROU10D,3.84
08/31/2015,IGROU10D,3.85
09/30/2015,IGROU10D,3.66
10/31/2015,IGROU10D,3.5
11/30/2015,IGROU10D,3.59
12/31/2015,IGROU10D,3.765
01/31/2016,IGROU10D,3.565
02/29/2016,IGROU10D,3.45
03/31/2016,IGROU10D,3.338
04/30/2016,IGROU10D,3.74
05/31/2016,IGROU10D,3.69
06/30/2016,IGROU10D,3.521
07/31/2016,IGROU10D,3.231
08/31/2016,IGROU10D,2.961
09/30/2016,IGROU10D,2.9
10/31/2016,IGROU10D,3.1
11/30/2016,IGROU10D,3.479
12/31/2016,IGROU10D,3.65
01/31/2017,IGROU10D,3.75
02/28/2017,IGROU10D,3.68
03/31/2017,IGROU10D,3.97
04/30/2017,IGROU10D,3.92
05/31/2017,IGROU10D,3.721
06/30/2017,IGROU10D,3.96
07/31/2017,IGROU10D,3.92
08/31/2017,IGROU10D,3.98
09/30/2017,IGROU10D,4.2
10/31/2017,IGROU10D,4.42
11/30/2017,IGROU10D,4.58
12/31/2017,IGROU10D,4.399
01/31/2018,IGROU10D,4.52
02/28/2018,IGROU10D,4.59
03/31/2018,IGROU10D,4.54
04/30/2018,IGROU10D,4.57
05/31/2018,IGROU10D,4.94
06/30/2018,IGROU10D,5.31
07/31/2018,IGROU10D,5
08/31/2018,IGROU10D,4.83
09/30/2018,IGROU10D,4.82
10/31/2018,IGROU10D,4.951
11/30/2018,IGROU10D,5.03
12/31/2018,IGROU10D,4.845
01/31/2019,IGROU10D,4.82
02/28/2019,IGROU10D,4.592
03/31/2019,IGROU10D,4.83
04/30/2019,IGROU10D,4.778
05/31/2019,IGROU10D,4.665
06/30/2019,IGROU10D,4.67
07/31/2019,IGROU10D,4.115
08/31/2019,IGROU10D,4.14
