,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
110,2023-05-04,12158.77,12371.944,45443.1542759996,30418.281244424823,174.40837492627705
111,2023-05-03,12247.86,12375.6185,16322.234322249979,28214.11918707484,167.97059024446762
112,2023-05-02,12298.69,12368.800500000001,4915.482210250096,27862.631371274834,166.92103333994442
113,2023-04-28,12267.59,12355.941,7805.8992010001,29245.427565774804,171.01294560873106
114,2023-04-27,12318.55,12345.234,712.035856000059,30562.82320853728,174.8222617647343
115,2023-04-26,12380.17,12336.204000000002,1933.0091559998707,31169.541863937262,176.54897865447214
116,2023-04-25,12450.96,12321.977,16636.614288999575,32422.394110249774,180.06219511671452
117,2023-04-24,12438.71,12298.924,19540.12579599951,35527.676031312316,188.4878670665895
118,2023-04-21,12396.7,12281.111,13360.816920999987,36646.84905432481,191.4336675047647
119,2023-04-20,12425.83,12263.3775,26390.814756249812,39302.855704324815,198.2494784465392
120,2023-04-19,12467.08,12246.401500000002,48699.00036224919,40528.9628825623,201.3180639748016
121,2023-04-18,12497.96,12225.727,74110.8062889991,41776.2188269623,204.39231596848816
122,2023-04-13,12459.85,12212.185000000001,61337.95222499953,38707.89176202483,196.7432127470344
123,2023-04-12,12434.43,12198.7335,55552.84011225001,36821.986533587355,191.89055874009892
124,2023-04-11,12446.02,12187.805,66674.98622500007,34987.14245242484,187.0485029408812
125,2023-04-10,12425.29,12186.596,56974.825636000634,31834.228107224848,178.42149003756484
126,2023-04-07,12363.4,12178.091,34339.42548099974,29481.878359537302,171.7028781341108
127,2023-04-06,12332.67,12177.659,24028.41012100013,27765.75415828732,166.63059190402979
128,2023-04-05,12334.75,12184.641500000002,22532.561772249537,27268.005291849804,165.130267643003
129,2023-04-04,12293.6,12188.459,11054.62988099992,26382.83063184984,162.42792442141788
130,2023-04-03,12232.26,12195.383,1359.91312900003,26317.94392424984,162.22806145747364
131,2023-03-31,12111.5,12207.8975,9292.478006249832,27434.00101191235,165.63212554306108
132,2023-03-30,12041.5,12221.975499999999,32571.40610024951,27245.345889412354,165.06164269572855
133,2023-03-29,12053.45,12238.2575,34153.812056249626,25763.825652449883,160.51113871769113
134,2023-03-28,12137.95,12251.292,12846.408963999713,24058.2992116874,155.10737961711365
135,2023-03-27,12095.63,12259.9165,26990.05408225005,23421.158347687415,153.03972800448716
136,2023-03-24,11989.9,12270.5105,78742.25271025038,22084.136063624912,148.60732170261636
137,2023-03-23,12082.45,12287.2025,41923.586256249466,18231.9737261624,135.0258261450838
138,2023-03-22,12042.03,12299.869,66480.94992099996,16316.73463796243,127.73697443560509
139,2023-03-21,12086.31,12311.948999999999,50912.95832099965,13001.645053162432,114.02475631704911
140,2023-03-20,12053.59,12324.964499999998,73644.11925024896,10787.405036224955,103.86243322888673
141,2023-03-17,12227.12,12340.0105,12744.264990249892,7582.072853712506,87.07509893024817
142,2023-03-16,12190.82,12344.5075,23619.84765625,7219.767021712507,84.96921219896362
143,2023-03-15,12215.86,12353.177,18855.958488999753,6918.264064012486,83.17610272195066
144,2023-03-14,12421.84,12361.701,3616.699321000124,7405.316556674998,86.05414898001722
145,2023-03-13,12255.19,12354.8285,9927.830682249823,7615.899414824984,87.26912062594067
146,2023-03-10,12354.76,12358.876,16.94145599999988,8334.724995824981,91.29471504870904
147,2023-03-09,12472.32,12353.6885,14073.432792249883,8624.260886224985,92.86689876497968
148,2023-03-08,12411.1,12341.608499999998,4829.068572250265,8048.94649106249,89.71592105675832
149,2023-03-07,12432.08,12333.303,9756.895729000009,7986.773782449971,89.36875171137824
150,2023-03-06,12482.55,12328.663499999999,23681.054882250162,8688.134838049991,93.2101648858642
151,2023-03-03,12393.06,12318.7675,5519.3755562499355,8026.1146049499675,89.58858523801996
152,2023-03-02,12367.14,12312.909,2941.0013609999746,8259.367963337467,90.88106493289715
153,2023-03-01,12314.14,12307.561,43.28324099999636,8522.106466799974,92.315255872472
154,2023-02-28,12310.44,12300.262,103.59168399999763,8523.359882562476,92.32204440198709
155,2023-02-27,12307.51,12291.711,249.60840100002804,8526.297589474972,92.33795313669765
156,2023-02-24,12323.74,12282.520999999999,1699.0059610000792,8514.901551874971,92.27622419602447
157,2023-02-23,12335.78,12275.6235,3618.8044922501153,8772.58595187496,93.66208385400658
158,2023-02-22,12283.63,12270.244999999999,179.15822500000584,9687.408199462434,98.42463207684565
159,2023-02-21,12346.62,12265.2065,6628.157982250093,10229.233137224935,101.13967143126843
160,2023-02-20,12354.51,12256.85,9537.475599999972,10432.118925924926,102.1377448641046
161,2023-02-17,12317.06,12242.9105,5498.148350249931,9955.255293437427,99.77602564462781
162,2023-02-16,12364.21,12231.5835,17589.788502249598,9682.139186437429,98.39786169646894
163,2023-02-15,12386.34,12217.2335,28597.008342249956,8810.82896632495,93.86601603522412
164,2023-02-14,12284.39,12195.912,7828.356483999851,8242.510123724973,90.78827084885455
165,2023-02-13,12336.14,12180.2415,24304.342302249792,8575.280372137478,92.6028097421319
166,2023-02-10,12251.01,12174.802,5807.659264000082,8323.946073824978,91.23566229180878
167,2023-02-09,12230.72,12180.053,2567.1448889999456,12018.55226223752,109.62915790170752
168,2023-02-08,12244.99,12185.11,3585.614399999904,15549.938396300025,124.69939212482163
169,2023-02-07,12339.29,12185.069,23784.11684100042,17159.137151912546,130.99288969983274
170,2023-02-06,12284.63,12182.4505,10440.650220249667,18648.108702062524,136.5580781281815
