,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
4131,2006-12-20,32724.28,32217.317000000003,257011.48336899604,610231.2288831377,781.1729826889417
4132,2006-12-19,32724.36,32221.879999999997,252486.15040000321,600768.9147550002,775.0928426678962
4133,2006-12-18,32689.2,32243.416000000005,198723.37465599645,588225.7533105125,766.9587689768679
4134,2006-12-15,32777.97,32277.351999999995,250618.38192400587,580961.9329075128,762.2085888439678
4135,2006-12-14,32482.8,32307.652000000002,30676.82190399909,571319.6002016249,755.8568648901886
4136,2006-12-13,32333.41,32352.714999999997,372.6830249998708,572323.1215420376,756.5204039165352
4137,2006-12-12,32333.41,32389.74,3173.0689000001967,572788.4432061,756.8278821542584
4138,2006-12-11,32333.41,32429.500500000002,9233.384190250397,572871.9281660999,756.8830346665857
4139,2006-12-08,32290.59,32469.264999999996,31924.75562499844,572671.2223455999,756.7504359731813
4140,2006-12-06,32883.2,32523.0255,129725.67045024809,572844.8739868,756.8651623550921
4141,2006-12-05,32883.2,32555.193,107588.59204899854,574616.8213453003,758.0348417752975
4142,2006-12-01,31632.46,32584.691,906743.8773609996,577280.2489878504,759.7896083705347
4143,2006-11-30,31632.54,32647.933500000003,1031023.959842254,532757.532346313,729.9024128925133
4144,2006-11-29,31362.04,32698.490499999996,1786099.9389502376,487835.68513545033,698.4523499390995
4145,2006-11-28,31362.12,32762.987500000007,1962429.7525562712,404582.0955819884,636.0676816047081
4146,2006-11-23,31534.3,32827.485,1672327.4442250035,312437.5363437875,558.9611223902674
4147,2006-11-22,31534.38,32893.5855,1847439.59123025,229933.00285253738,479.51329788915905
4148,2006-11-21,31933.03,32959.686499999996,1054023.5689922445,138846.2205560374,372.6207462770121
4149,2006-11-20,32342.48,33005.882,440102.21360399766,87721.86371767517,296.17876986319453
4150,2006-11-17,32557.16,33039.757,232899.864408998,65813.66526998777,256.5417417692251
4151,2006-11-16,32815.54,33075.8575,67765.20080624864,56158.31549165025,236.97745777109319
4152,2006-11-15,33155.08,33114.7945,1622.92151024985,66632.4583209503,258.13263707046093
4153,2006-11-14,33367.92,33136.734,53446.9665960007,81888.08337388778,286.1609396369249
4154,2006-11-13,33383.97,33143.6125,57771.72780624916,90660.61789690003,301.0990167650835
4155,2006-11-10,33384.06,33158.788499999995,50747.24871225115,110893.3235246371,333.00649171545757
