Date,IMF_FCI
2001-08,-1.9927274296397355
2001-09,-2.06592556734272
2001-10,-1.905008617206975
2001-11,-1.8237989912021697
2001-12,-1.5984936343966814
2002-01,-1.4462904181824818
2002-02,-1.5238098431726101
2002-03,-1.458106878854753
2002-04,-1.233300392519544
2002-05,-1.7261479878393182
2002-06,-1.7612414588821956
2002-07,-1.6415958288332146
2002-08,-1.6029817086553726
2002-09,-1.517807609528795
2002-10,-1.285014313794468
2002-11,-0.9410619175230919
2002-12,-0.653223282479065
2003-01,-0.5549469904045718
2003-02,-0.28641344752741826
2003-03,0.037406679590433964
2003-04,0.3582632124925685
2003-05,0.823472619794574
2003-06,1.1900553574344053
2003-07,1.375119416155123
2003-08,1.247675354594752
2003-09,0.9661803970408619
2003-10,0.8804988132110777
2003-11,0.7169088126922318
2003-12,0.6954738987357159
2004-01,0.719046029584861
2004-02,0.7659918069331717
2004-03,0.7761967259770971
2004-04,0.9078919257665882
2004-05,0.9527671278273924
2004-06,1.0927824432145992
2004-07,0.9512016971561948
2004-08,0.9553466782624672
2004-09,1.0489626328392914
2004-10,1.1747815906200985
2004-11,1.2074145914851016
2004-12,1.262268945075681
2005-01,1.1041173190012707
2005-02,1.130180980174822
2005-03,1.016434989433573
2005-04,1.0090922965390752
2005-05,0.9695160168792663
2005-06,0.9103168162708338
2005-07,1.0291019226486344
2005-08,1.0711555314647667
2005-09,0.9646087975364699
2005-10,0.9251428232542375
2005-11,0.7399653211904473
2005-12,0.8461894390653998
2006-01,0.9530384208307264
2006-02,0.8932395118198269
2006-03,0.6610553365994929
2006-04,0.8905863548527988
2006-05,0.5379319768583006
2006-06,0.3059989388356209
2006-07,0.6759495273963184
2006-08,0.7768272803304984
2006-09,0.4370646998737782
2006-10,0.6309290239673112
2006-11,0.7945900785205794
2006-12,0.7538240636968218
2007-01,0.8811853707882836
2007-02,0.8717725274275473
2007-03,0.9433948638225114
2007-04,0.9166191682904522
2007-05,0.7619700007899298
2007-06,0.7709638579282961
2007-07,0.5723528255325218
2007-08,0.4414835800298151
2007-09,0.699796089214294
2007-10,0.45529972081690545
2007-11,0.34486260045391964
2007-12,0.14202574596363002
2008-01,-0.23153994663542854
2008-02,-0.26664011843056623
2008-03,-0.2835141512599997
2008-04,-0.3897666161372549
2008-05,-0.15182799409462988
2008-06,-0.4749476819756258
2008-07,-0.6547641413453575
2008-08,-0.8584647110212227
2008-09,-1.284642448818479
2008-10,-1.6867047236452595
2008-11,-2.5736901135264665
2008-12,-2.7518575898774924
2009-01,-3.239579589873381
2009-02,-2.687298942332199
2009-03,-2.7192036353282103
2009-04,-2.5069639886055746
2009-05,-2.4586767399323852
2009-06,-2.157257197275843
2009-07,-1.7298679727517605
2009-08,-1.649274807030073
2009-09,-1.5750059608714415
2009-10,-1.217644497190224
2009-11,-0.855748901842066
2009-12,-0.7767105837441196
2010-01,-0.439487504500721
2010-02,-0.39596387844208464
2010-03,-0.25910617385741447
2010-04,-0.3906778256265434
2010-05,-0.46403567649148336
2010-06,-0.2766462354010427
2010-07,-0.3777785830068058
2010-08,-0.3035695170543397
2010-09,-0.1128604636764457
2010-10,-0.2155144175342556
2010-11,-0.37799637351993054
2010-12,-0.007818369923948854
2011-01,0.14841638583841404
2011-02,-0.17953048006069763
2011-03,0.3118912401591917
2011-04,-0.1303676569057109
2011-05,0.21999112083186703
2011-06,-0.8677504971237331
2011-07,-0.7123840849568048
2011-08,-0.6737702307384956
2011-09,-1.526051460784191
2011-10,-1.1642677647858433
2011-11,-1.4569148571528063
2011-12,-1.533330758921824
2012-01,-1.5385410221952858
2012-02,-1.3689570863270455
2012-03,-1.2546571804170095
2012-04,-1.063705766506049
2012-05,-1.0053422518043587
2012-06,-0.9385057679569916
2012-07,-0.9512456686871417
2012-08,-0.398502103406641
2012-09,-0.21086844006640326
2012-10,0.10215881358844307
2012-11,0.1794963472475075
2012-12,0.39211918810825136
2013-01,0.3425806694460159
2013-02,0.3493797124957138
2013-03,0.3843406482279711
2013-04,0.5011369770468415
2013-05,0.3193004675610144
2013-06,0.04260992438816676
2013-07,0.5710518817995629
2013-08,0.006700071816728551
2013-09,0.10202425591439433
2013-10,0.12744699209772142
2013-11,-0.08127913106347756
2013-12,0.44250839172391054
2014-01,0.44003675124565167
2014-02,0.5659129902839918
2014-03,0.5571465499658729
2014-04,0.4200780233648345
2014-05,0.8161866209046809
2014-06,0.9180422766972087
2014-07,0.9219732978216167
2014-08,0.9388496707379477
2014-09,1.0737483263275907
2014-10,0.8197457217192374
2014-11,0.982966675719159
2014-12,0.77210960981136
2015-01,0.7791581407526151
2015-02,0.9243551617853106
2015-03,0.9335694154832325
2015-04,1.194736757499115
2015-05,1.0794058710617893
2015-06,0.8906809704028931
2015-07,1.014634911055765
2015-08,0.9561731644683176
2015-09,0.8144873251251981
2015-10,0.9004963658288185
2015-11,0.9409740680240953
2015-12,0.7734476236623101
2016-01,0.2612476560675466
2016-02,0.6823176160446628
2016-03,0.6048177631772121
2016-04,0.4607973953123773
2016-05,0.5432465355378788
2016-06,0.6154042806020474
2016-07,0.6116029245672598
2016-08,0.8019222419165203
2016-09,0.7113089722518706
