,Policy Rate: Month End: Effective Federal Funds Rate
Region,United States
Subnational,
Frequency,Monthly
Unit,% pa
Source,Federal Reserve Board
Status,Active
Series ID,211485902 (UMADAAAAA)
SR Code,SR4003742
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,07/1954
Last Obs. Date,09/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
02/1981,15.53
03/1981,14.63
04/1981,18.92
05/1981,17.56
06/1981,18.64
07/1981,17.46
08/1981,16.83
09/1981,16.58
10/1981,14.44
11/1981,12.44
12/1981,13.13
01/1982,14.21
02/1982,13.74
03/1982,16.8
04/1982,15.28
05/1982,13.38
06/1982,14.58
07/1982,11.41
08/1982,10.63
09/1982,12.17
10/1982,9.41
11/1982,8.93
12/1982,11.2
01/1983,8.56
02/1983,8.53
03/1983,10.81
04/1983,8.84
05/1983,8.94
06/1983,10.06
07/1983,9.52
08/1983,9.59
09/1983,10.59
10/1983,9.43
11/1983,9.34
12/1983,9.92
01/1984,9.35
02/1984,9.45
03/1984,10.24
04/1984,10.9
05/1984,10.81
06/1984,10.85
07/1984,11.83
08/1984,11.64
09/1984,11.23
10/1984,9.99
11/1984,8.92
12/1984,8.74
01/1985,8.73
02/1985,8.74
03/1985,8.58
04/1985,8.58
05/1985,7.64
06/1985,7.95
07/1985,8.61
08/1985,7.8
09/1985,8.84
10/1985,8.08
11/1985,8.54
12/1985,13.46
01/1986,8.09
02/1986,7.95
03/1986,7.42
04/1986,7.05
05/1986,6.84
06/1986,7.72
07/1986,6.35
08/1986,5.77
09/1986,6.9
10/1986,5.93
11/1986,6.03
12/1986,14.35
01/1987,6.28
02/1987,6.02
03/1987,6.23
04/1987,7.63
05/1987,6.63
06/1987,6.56
07/1987,6.75
08/1987,6.95
09/1987,8.38
10/1987,6.62
11/1987,7.19
12/1987,6.77
01/1988,6.79
02/1988,6.67
03/1988,6.83
04/1988,6.98
05/1988,7.48
06/1988,8.27
07/1988,7.84
08/1988,8.14
09/1988,8.54
10/1988,8.39
11/1988,8.5
12/1988,9.64
01/1989,9.14
02/1989,9.87
03/1989,9.79
04/1989,9.82
05/1989,10.48
06/1989,9.63
07/1989,8.94
08/1989,8.92
09/1989,9.24
10/1989,8.89
11/1989,8.6
12/1989,7.97
01/1990,8.26
02/1990,8.29
03/1990,8.3
04/1990,8.23
05/1990,8.23
06/1990,8.32
07/1990,8.5
08/1990,8.6
09/1990,8.3
10/1990,9.52
11/1990,7.61
12/1990,5.53
01/1991,8.18
02/1991,6.99
03/1991,5.53
04/1991,5.98
