,Effective Federal Funds Rate: Month Average
Region,United States
Subnational,
Frequency,Monthly
Unit,% pa
Source,Federal Reserve Board
Status,Active
Series ID,42590301 (UMAA)
SR Code,SR660520
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,07/1954
Last Obs. Date,09/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
05/1976,5.271
06/1976,5.47954545
07/1976,5.29857143
08/1976,5.29818182
09/1976,5.25428571
10/1976,5.0115
11/1976,4.94578947
12/1976,4.67173913
01/1977,4.64571429
02/1977,4.68894737
03/1977,4.69608696
04/1977,4.71904762
05/1977,5.3452381
06/1977,5.39727273
07/1977,5.40736842
08/1977,5.90086957
09/1977,6.1547619
10/1977,6.4745
11/1977,6.4915
12/1977,6.5747619
01/1978,6.73952381
02/1978,6.80052632
03/1978,6.80217391
04/1978,6.864
05/1978,7.36782609
06/1978,7.61818182
07/1978,7.7985
08/1978,8.05782609
09/1978,8.4635
10/1978,8.9852381
11/1978,9.75380952
12/1978,9.999
01/1979,10.05909091
02/1979,10.07578947
03/1979,10.07818182
04/1979,10.00285714
05/1979,10.25565217
06/1979,10.28904762
07/1979,10.4852381
08/1979,10.9426087
09/1979,11.37894737
10/1979,13.81363636
11/1979,13.1175
12/1979,13.769
01/1980,13.71863636
02/1980,14.16684211
03/1980,17.10285714
04/1980,17.31904762
05/1980,10.96142857
06/1980,9.4152381
07/1980,8.98772727
08/1980,9.47761905
09/1980,10.85142857
10/1980,12.78318182
11/1980,15.89058824
12/1980,18.95818182
01/1981,18.86047619
02/1981,15.94166667
03/1981,14.69681818
04/1981,15.84571429
05/1981,18.411
06/1981,19.01590909
07/1981,19.06545455
08/1981,17.99952381
09/1981,15.92666667
10/1981,15.02904762
11/1981,13.31222222
12/1981,12.44909091
01/1982,13.2625
02/1982,14.74111111
03/1982,14.70652174
04/1982,14.9252381
05/1982,14.572
06/1982,14.14727273
07/1982,12.48904762
08/1982,10.11636364
09/1982,10.34571429
10/1982,9.6885
11/1982,9.23263158
12/1982,9.02136364
01/1983,8.57333333
02/1983,8.55631579
03/1983,8.8273913
04/1983,8.784
05/1983,8.66095238
06/1983,9.01636364
07/1983,9.3705
08/1983,9.56130435
09/1983,9.4447619
10/1983,9.424
11/1983,9.36210526
12/1983,9.54142857
01/1984,9.58238095
02/1984,9.62052632
03/1984,9.90318182
04/1984,10.349
05/1984,10.47818182
06/1984,11.08285714
07/1984,11.30619048
08/1984,11.6526087
09/1984,11.26526316
10/1984,10.00181818
11/1984,9.37684211
