,Policy Rate: Month End: Discount Rate
Region,Egypt
Subnational,
Frequency,Monthly
Unit,% pa
Source,Central Bank of Egypt
Status,Active
Series ID,96113007
SR Code,SR1116818
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,1991-01
Last Obs. Date,2023-09
Last Update Time,30/09/2023
Series remarks,
Suggestions,
Mean,12.191094147582694
Variance,12.206514871215667
Standard Deviation,3.49378231594581
Skewness,0.9822350635897609
Kurtosis,-0.13671639881643527
Coefficient Variation,0.2865848031071578
Min,8.5
Max,21.5
Median,11
No. of Obs,393
2001-01,12
2001-02,12
2001-03,12
2001-04,11
2001-05,11
2001-06,11
2001-07,11
2001-08,11
2001-09,11
2001-10,11
2001-11,11
2001-12,11
2002-01,11
2002-02,11
2002-03,11
2002-04,11
2002-05,11
2002-06,11
2002-07,11
2002-08,11
2002-09,11
2002-10,11
2002-11,10
2002-12,10
2003-01,10
2003-02,10
2003-03,10
2003-04,10
2003-05,10
2003-06,10
2003-07,10
2003-08,10
2003-09,10
2003-10,10
2003-11,10
2003-12,10
2004-01,10
2004-02,10
2004-03,10
2004-04,10
2004-05,10
2004-06,10
2004-07,10
2004-08,10
2004-09,10
2004-10,10
2004-11,10
2004-12,10
2005-01,10
2005-02,10
2005-03,10
2005-04,10
2005-05,10
2005-06,10
2005-07,10
2005-08,10
2005-09,10
2005-10,10
2005-11,10
2005-12,10
2006-01,9
2006-02,9
2006-03,9
2006-04,9
2006-05,9
2006-06,9
2006-07,9
2006-08,9
2006-09,9
2006-10,9
2006-11,9
2006-12,9
2007-01,9
2007-02,9
2007-03,9
2007-04,9
2007-05,9
2007-06,9
2007-07,9
2007-08,9
2007-09,9
2007-10,9
2007-11,9
2007-12,9
2008-01,9
2008-02,9
2008-03,9
2008-04,9
2008-05,9
2008-06,10
2008-07,10
2008-08,11
2008-09,11.5
2008-10,11.5
2008-11,11.5
2008-12,11.5
2009-01,11.5
2009-02,10.5
2009-03,10
2009-04,10
2009-05,9.5
2009-06,9
2009-07,9
2009-08,8.5
2009-09,8.5
2009-10,8.5
2009-11,8.5
2009-12,8.5
2010-01,8.5
2010-02,8.5
2010-03,8.5
2010-04,8.5
2010-05,8.5
2010-06,8.5
2010-07,8.5
2010-08,8.5
2010-09,8.5
2010-10,8.5
2010-11,8.5
2010-12,8.5
2011-01,8.5
2011-02,8.5
2011-03,8.5
2011-04,8.5
2011-05,8.5
2011-06,8.5
2011-07,8.5
2011-08,8.5
2011-09,8.5
2011-10,8.5
2011-11,9.5
2011-12,9.5
2012-01,9.5
2012-02,9.5
2012-03,9.5
2012-04,9.5
2012-05,9.5
2012-06,9.5
2012-07,9.5
2012-08,9.5
2012-09,9.5
2012-10,9.5
2012-11,9.5
2012-12,9.5
2013-01,9.5
2013-02,9.5
2013-03,10.25
2013-04,10.25
2013-05,10.25
2013-06,10.25
2013-07,10.25
2013-08,9.75
2013-09,9.25
2013-10,9.25
2013-11,9.25
2013-12,8.75
2014-01,8.75
2014-02,8.75
2014-03,8.75
2014-04,8.75
2014-05,8.75
2014-06,8.75
2014-07,9.75
2014-08,9.75
2014-09,9.75
2014-10,9.75
2014-11,9.75
2014-12,9.75
2015-01,9.25
2015-02,9.25
2015-03,9.25
2015-04,9.25
2015-05,9.25
2015-06,9.25
2015-07,9.25
2015-08,9.25
2015-09,9.25
2015-10,9.25
2015-11,9.25
2015-12,9.75
2016-01,9.75
2016-02,9.75
2016-03,11.25
2016-04,11.25
2016-05,11.25
2016-06,12.25
2016-07,12.25
2016-08,12.25
2016-09,12.25
2016-10,12.25
2016-11,15.25
2016-12,15.25
2017-01,15.25
2017-02,15.25
2017-03,15.25
2017-04,15.25
2017-05,17.25
2017-06,17.25
2017-07,19.25
2017-08,19.25
2017-09,19.25
2017-10,19.25
2017-11,19.25
2017-12,19.25
2018-01,19.25
2018-02,18.25
2018-03,18.25
2018-04,17.25
2018-05,17.25
2018-06,17.25
2018-07,17.25
2018-08,17.25
2018-09,17.25
2018-10,17.25
2018-11,17.25
2018-12,17.25
2019-01,17.25
2019-02,16.25
2019-03,16.25
2019-04,16.25
2019-05,16.25
2019-06,16.25
2019-07,16.25
2019-08,14.75
2019-09,13.75
2019-10,13.75
2019-11,12.75
2019-12,12.75
2020-01,12.75
2020-02,12.75
2020-03,9.75
2020-04,9.75
2020-05,9.75
2020-06,9.75
2020-07,9.75
2020-08,9.75
2020-09,9.25
2020-10,9.25
2020-11,8.75
2020-12,8.75
2021-01,8.75
2021-02,8.75
2021-03,8.75
2021-04,8.75
2021-05,8.75
2021-06,8.75
2021-07,8.75
2021-08,8.75
2021-09,8.75
2021-10,8.75
2021-11,8.75
2021-12,8.75
2022-01,8.75
2022-02,8.75
2022-03,9.75
2022-04,9.75
2022-05,11.75
2022-06,11.75
2022-07,11.75
2022-08,11.75
2022-09,11.75
2022-10,13.75
2022-11,13.75
2022-12,16.75
2023-01,16.75
2023-02,16.75
2023-03,16.75
2023-04,18.75
2023-05,18.75
2023-06,18.75
2023-07,18.75
2023-08,19.75
2023-09,19.75
