date,value,gdp,money_velocity,mo12m
2020-10-01,1782265,622934.1400018423,0.349518247848576,-0.10524671047938826
2020-11-01,1790331,650193.814707752,0.36316961204813636,-0.1024470458575089
2020-12-01,1822376,659978.3,0.3621526512640641,-0.11189552267566844
2021-01-01,1819840,643590.2347346776,0.3536520983903407,-0.11697115646890666
2021-02-01,1836598,617969.4082764139,0.33647505239383574,-0.1049272483170359
2021-03-01,1862402,595751.8,0.3198835697126614,-0.0692103481879395
2021-04-01,1859964,593682.2928486776,0.319190206288228,-0.0065936092297560365
2021-05-01,1871969,605923.072759511,0.32368221522873025,0.05375279564842
2021-06-01,1875998,621312.1,0.33119017184453287,0.09293011493432432
2021-07-01,1894515,633219.7102406976,0.33423842526488184,0.07607678463522828
2021-08-01,1902571,645903.0313463105,0.3394895808599577,0.05465115689009216
2021-09-01,1914200,666402.2,0.34813614042419805,0.04113236780718022
2021-10-01,1935695,699678.8084238912,0.3614612882834802,0.03417000545298666
2021-11-01,1971939,731596.2301093169,0.3710034793719871,0.021570822733958196
2021-12-01,1984816,747836,0.376778502390146,0.040385873401814286
2022-01-01,1960127,736517.1913211013,0.37574973015580176,0.062484096280042443
2022-02-01,1984236,714054.8412975445,0.3598638676536181,0.06951129093638223
2022-03-01,2007244,694185.1,0.34583991781766443,0.08114311131490302
2022-04-01,2010916,693710.4478061222,0.34497236473633025,0.08077365138459497
2022-05-01,2012845,707632.476817174,0.3515583548744061,0.0861219379198118
2022-06-01,1996504,725438.9,0.3633545938300149,0.0971176825880589
2022-07-01,2010325,741217.0798904281,0.3687050998671499,0.10312002450033511
2022-08-01,2041662,758793.8428619442,0.37165497661314373,0.09474634146859003
2022-09-01,2059651,784434,0.3808577278383571,0.09399078008473447
2022-10-01,2068908,822699.296496082,0.39764904794997263,0.10011517371152562
2022-11-01,2079669,857842.4072174289,0.41248987565686124,0.11182212187093205
2022-12-01,2088964,874266.6,0.4185168341819198,0.11077683977987335
2023-01-01,2093967,858883.0204107065,0.4101702750858569,0.0916049757794448
2023-02-01,2128997,829758.365892412,0.38974144439490144,0.08302466412116032
2023-03-01,2140215,800379.7,0.37397163369100767,0.08134317186651364
2023-04-01,2147526,789878.6631147481,0.36780866127569495,0.06619746644580926
2023-05-01,2157899,794601.2351110823,0.36822911318420476,0.047419604963603416
2023-06-01,2157334,806707.0999999999,0.37393704451883664,0.029124306857593884
