Date,Term_Premium,Risk_Premium,Stock_Prices_mom%_change,Stock_Prices_mom24mma%_change,Stock_Market_Volatility,REER,Current_Account_Balance_change_yryr%,Current_Account_Balance_over_GDP,One-Day_Repo_Rate_AVG,One-Day_Repo_Rate_EOP,Policy_Rate_&_Fed_Funds_Rate_Differential_AVG,Policy_Rate_&_Fed_Funds_Rate_Differential_EOP,Portfolio_Flows,Foreign_Exchange_Reserve_change_yryr%,Foreign_Exchange_Reserve_over_GDP,CPI yryrl,Bank Lending yryr%,Bank_Lending_mo12m%_change
2012-05,0.09,-7.12,-11.709385726264223,0.7749425384914491,-642.3306143085634,95.45595547,105.878855703994,1.3342304446865545,7.0,7.0,6.84,6.84,,-18.441756683272427,1.5220828749593744,5.164323315183839,-2.111352900017621,7.275676215201459
2012-06,0.02,-6.23,7.709713524747482,0.84486104216972,-643.4829707677682,95.4260899,236.477987421384,2.083375364024423,7.0,7.0,6.91,6.91,,-16.25951633870194,1.4883302952712167,5.448818528406978,-3.3146648134289665,8.763483341835943
2012-07,0.04,-5.86,0.3860776757143632,0.8545577136287513,-334.7806267367166,97.04456461,254.75604699378,3.0106936671495625,7.0,7.0,6.87,6.87,,-14.300541990569137,1.424282142714876,5.638033343610769,-4.41147107666667,10.04950442027744
2012-08,-0.19,-5.68,0.6077658458572501,0.8683794799648055,-301.66540938366944,99.71707044,215.790754257908,3.941839417508843,6.965909090909091,6.75,6.835909090909091,6.62,,-18.283527712663737,1.3821379516529493,5.826890812397583,-5.093883120185862,10.920773932583444
2012-09,-0.4,-5.59,6.137039206752164,0.931385012852464,-466.1321800925813,99.0784904,172.894645138808,4.357586090371402,6.7125,6.5,6.6225000000000005,6.41,,-14.590056291086327,1.3357504452700306,6.391332574365285,-5.284762220617663,11.676094794982948
2012-10,-0.41,-5.16,3.3990634069714587,0.9724867351641528,-432.3382347017504,99.84941388,107.055954088953,3.666790161521789,6.489130434782608,6.25,6.309130434782609,6.07,,-12.78055244145725,1.2951749213856816,5.826890812397583,-4.96603502,10.792925832397582
2012-11,-0.39,-5.2,-4.970008568980302,0.9318672587578658,-345.17638940008703,99.48614753,-242.324180280385,1.9609086879025623,6.2125,6.0,6.0525,5.84,,-6.943955409877834,1.2505877999804873,5.069311431551816,-4.196599793804654,9.26591122535647
2012-12,-0.22,-4.45,-0.5038534965067444,0.9318756232615604,-559.0359163333438,99.41502349,413.721393034826,0.0944109648002056,5.892857142857143,5.75,5.802857142857143,5.66,,-7.746026480611401,1.2186162229634458,4.879016416943205,-3.256504255727743,8.135520672670948
2013-01,-0.33,-4.32,6.574626372900753,0.9998805948934064,-532.7209878918867,96.90538141,2.30604051909252,-0.6916277170655464,5.728260869565218,5.5,5.578260869565217,5.35,,-4.1849051783118485,1.2498693948900403,3.6331929247390207,-2.58184750666667,6.215040431405691
2013-02,-0.47,-4.36,-2.9071634581129167,0.9778405502923584,-408.1750918490578,97.35841933,2437.63984121256,0.1527343827805839,5.475,5.25,5.335,5.11,,1.6872906507081398,1.3352400697323688,2.761516703297339,-2.445212102296047,5.206728805593386
2013-03,-0.66,-4.52,-5.038777003513972,0.9374053305614228,-330.4336531484045,93.10640917,526.378825964808,2.1098639326442377,5.214285714285714,5.0,5.1242857142857146,4.91,,-0.7572563295898282,1.4583293206775103,2.176149178151271,-2.5718820712273804,4.748031249378652
2013-04,-0.27,-3.62,2.4004027457493944,0.970955152766818,-367.0003226511704,94.81593409,244.765926389323,3.7121409229539366,4.940476190476191,4.75,4.800476190476191,4.61,,1.9805332757100391,1.5316060752060965,1.6857117066422806,-2.59203513333333,4.27774683997561
