,x,x,,,,
,,,,,,
,,,,,,
,Hungary,,,,,
,Equity,Debt,,,,
Apr 10,,-81,,,,
May 10,,-273,,,,
Jun 10,,-412,,,,
Jul 10,,117,,,,
Aug 10,,128,,,,
Sep 10,,650,,,,
Oct 10,,384,,,,
Nov 10,,391,,,,
Dec 10,,1,,,,
Jan 11,,438,,,,
Feb 11,,808,,,,
Mar 11,,958,,,,
Apr 11,,673,,,,
May 11,,943,,,,
Jun 11,,1283,,,,
Jul 11,,1276,,,,
Aug 11,,929,,,,
Sep 11,,331,,,,
Oct 11,,-497,,,,
Nov 11,,-476,,,,
Dec 11,,238,,,,
Jan 12,,415,,,,
Feb 12,,363,,,,
Mar 12,,1072,,,,
Apr 12,,260,,,,
May 12,,37,,,,
Jun 12,,-93,,,,
Jul 12,,1253,,,,
Aug 12,,804,,,,
Sep 12,,529,,,,
Oct 12,,8,,,,
Nov 12,,560,,,,
Dec 12,,221,,,,
Jan 13,,116,,,,
Feb 13,,-921,,,,
Mar 13,,8,,,,
Apr 13,,280,,,,
May 13,,529,,,,
Jun 13,,219,,,,
Jul 13,,-351,,,,
Aug 13,,-219,,,,
Sep 13,,-196,,,,
Oct 13,,183,,,,
Nov 13,,-31,,,,
Dec 13,,260,,,,
Jan 14,,-423,,,,
Feb 14,,-1198,,,,
Mar 14,,-119,,,,
Apr 14,65,629,,,,
May 14,134,-1352,,,,
Jun 14,75,135,,,,
Jul 14,-105,-1285,,,,
Aug 14,35,-1996,,,,
Sep 14,52,136,,,,
Oct 14,-103,818,,,,
Nov 14,-572,130,,,,
Dec 14,-74,-422,,,,
Jan 15,-118,736,,,,
Feb 15,160,-1723,,,,
Mar 15,116,-417,,,,
Apr 15,221,-152,,,,
May 15,12,-1268,,,,
Jun 15,-27,-467,,,,
Jul 15,-10,-313,,,,
Aug 15,-22,-436,,,,
Sep 15,-111,-430,,,,
Oct 15,49,-1368,,,,
Nov 15,326,-744,,,,
Dec 15,179,182,,,,
Jan 16,-47,-223,,,,
Feb 16,14,-916,,,,
Mar 16,-136,-1540,,,,
Apr 16,89,696,,,,
May 16,-21,-829,,,,
Jun 16,-67,-115,,,,
Jul 16,38,-918,,,,
Aug 16,-95,241,,,,
Sep 16,-18,241,,,,
Oct 16,92,254,,,,
Nov 16,3,-525,,,,
Dec 16,58,-630,,,,
Jan 17,-110,-67,,,,
Feb 17,-26,-629,,,,
Mar 17,-90,437,,,,
Apr 17,-40,-530,,,,
May 17,21,-423,,,,
Jun 17,30,-415,,,,
Jul 17,61,-419,,,,
Aug 17,98,374,,,,
Sep 17,5,240,,,,
Oct 17,76,-284,,,,
Nov 17,-98,-375,,,,
Dec 17,-25,123,,,,
Jan 18,-14,-232,,,,
Feb 18,-26,-374,,,,
Mar 18,-79,1049,,,,
Apr 18,-25,272,,,,
May 18,-77,181,,,,
Jun 18,-87,-2222,,,,
Jul 18,-31,-262,,,,
Aug 18,55,569,,,,
Sep 18,-83,142,,,,
Oct 18,89,829,,,,
Nov 18,254,273,,,,
Dec 18,-5,-196,,,,
Jan 19,48,-285,,,,
Feb 19,-3,-785,,,,
Mar 19,55,-49,,,,
Apr 19,40,-172,,,,
May 19,-161,427,,,,
Jun 19,-93,209,,,,
Jul 19,112,832,,,,
Aug 19,-77,-485,,,,
Sep 19,26,-379,,,,
Oct 19,52,-154,,,,
Nov 19,161,-321,,,,
Dec 19,62,-474,,,,
Jan 20,-52,-2157,,,,
Feb 20,-48,-750,,,,
Mar 20,-93,-631,,,,
Apr 20,-235,67,,,,
May 20,-30,998,,,,
Jun 20,-121,-979,,,,
Jul 20,-134,80,,,,
Aug 20,-52,-1090,,,,
Sep 20,-138,322,,,,
Oct 20,-7,743,,,,
Nov-20,185,136,,,,
Dec-20,162,102,,,,
Jan-21,1,425,,,,
Feb-21,-27,553,,,,
Mar-21,-49,-887,,,,
Apr-21,-120,359,,,,
May-21,152,-629,,,,
Jun-21,67,-789,,,,
Jul-21,-38,1445,,,,
Aug-21,132,-98,,,,
Sep-21,74,449,,,,
Oct-21,-757,-670,,,,
Nov-21,-180,-162,,,,
Dec-21,-103,-1151,,,,
Jan-22,-997,1775,,,,
Feb-22,186,274,,,,
Mar-22,-190,-918,,,,
Apr-22,-186,1898,,,,
May-22,-266,716,,,,
Jun-22,-192,-1992,,,,
Jul-22,2,1575,,,,
Aug-22,33,93,,,,
Sep-22,-40,-1340,,,,
Oct-22,0,2861,,,,
Nov-22,99,-85,,,,
Dec-22,-74,-1151,,,,
Jan-23,85,4045,,,,
Feb-23,-41,386,,,,
Mar-23,-86,-654,,,,
Apr-23,-19,2503,,,,
May-23,45,-645,,,,
Jun-23,59,-2029,,,,
Jul-23,106,1045,,,,
Aug-23,,340,,,,
Sep-23,,-2270,,,,
