Date,Reserves,GDP in mil Local,FER/GDP
2003-02-28,207560000,38045.70417979852,5455.543653998394
2003-03-31,209660000,34454.0,6085.215069367853
2003-04-30,211840000,35152.900547834426,6026.24525141924
2003-05-31,200430000,38949.05077609038,5145.953393119346
2003-06-30,204930000,43501.3,4710.893697429731
2003-07-31,233370000,47417.676026990994,4921.582404569165
2003-08-31,246140000,50771.90512730342,4847.9567466069775
2003-09-30,256350000,54157.8,4733.390204181115
2003-10-31,271360000,58021.21251043913,4676.910189547954
2003-11-30,265100000,60544.30219691768,4378.611865700821
2003-12-31,262060000,59804.5,4381.944502503992
2004-01-31,256960000,54576.78922263195,4708.228601572692
2004-02-29,255930000,48302.22634825156,5298.513533409089
2004-03-31,274980000,43984.4,6251.761988341321
2004-04-30,281620000,44889.9485598194,6273.564774188127
2004-05-31,294660000,49546.97234318177,5947.083869405163
2004-06-30,314600000,55098.7,5709.753587652704
2004-07-31,351070000,59872.016026655176,5863.6742721959245
2004-08-31,379420000,64078.07760031073,5921.213841130591
2004-09-30,397270000,68569.2,5793.709128880022
2004-10-31,402890000,73960.98928378442,5447.331139043209
2004-11-30,377930000,77686.70445871721,4864.7963977006175
2004-12-31,424840000,77036.0,5514.824238018588
2005-01-31,422610000,70179.90900952114,6021.808890385787
2005-02-28,437330000,61810.62587710094,7075.320687895157
2005-03-31,462550000,54939.6,8419.245862729253
2005-04-30,466930000,54209.64243031177,8613.41228362193
2005-05-31,479380000,58077.01086831969,8254.212688165328
2005-06-30,496280000,63561.0,7807.932537247683
2005-07-31,52321,68801.19890364828,0.7604663993322593
2005-08-31,57695,73833.7112111902,0.7814181226103094
2005-09-30,59236,79289.7,0.7470831646481195
2005-10-31,60936,85633.46181650893,0.7115909915048231
2005-11-30,60904,89909.53091704374,0.6773920337343758
2005-12-31,61769,89071.6,0.6934758104715756
2006-01-31,62409,81130.93933049642,0.769237981403982
2006-02-28,61581,71724.00288147721,0.8585828666278099
2006-03-31,63891,64667.2,0.9879970062102581
2006-04-30,63547,65366.32429113578,0.9721672541501236
2006-05-31,64483,71476.59083635558,0.9021555063759646
2006-06-30,64862,78622.6,0.8249790772627718
2006-07-31,64816,84147.37841934625,0.7702676092532695
2006-08-31,65379,88666.78751024826,0.7373561379162787
2006-09-30,66200,93855.0,0.7053433487826967
2006-10-31,74470,100847.54293185224,0.7384413921747517
2006-11-30,72899,106069.02663829924,0.6872788627408573
2006-12-31,72063,105617.8,0.6822997638655606
2007-01-31,73973,96883.88188254532,0.7635222553291089
2007-02-28,73522,86421.23183626574,0.8507400142050195
2007-03-31,72227,78903.6,0.9153828215696115
2007-04-30,71240,80596.42847720145,0.8839101353002493
2007-05-31,71789,88546.33895301775,0.8107506289796
2007-06-30,68948,97253.3,0.7089528067428046
2007-07-31,70863,103480.77141746564,0.6847938900080487
2007-08-31,80808,108539.85758289431,0.7445007004757227
2007-09-30,84595,115153.7,0.7346268508958027
2007-10-31,84103,125139.9630267766,0.6720714787330104
2007-11-30,88978,133403.6820118477,0.6669830896578836
2007-12-31,91363,134380.5,0.6798828699104409
2008-01-31,94568,124124.62139622238,0.7618794638504983
2008-02-29,94072,110565.81758136148,0.8508235371277904
2008-03-31,93471,101049.3,0.9250039337234399
2008-04-30,92849,103231.55538674022,0.8994245960177228
2008-05-31,90702,113527.1440122924,0.7989454926319564
2008-06-30,90579,125089.2,0.7241152713423701
2008-07-31,88966,133867.80630811263,0.6645809956371004
2008-08-31,91277,141024.98050349814,0.6472399405702159
2008-09-30,96832,149415.0,0.6480741558745775
2008-10-31,99678,160772.28851473393,0.6199949065902924
