Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGEGY10D,Egypt 10-year Government Bond Yield,Government Bond Yields,Egypt Pound,Egypt,,,,,,,Percent per Annum,Units,Stock,none,Quarterly From Apr 2012 To Oct 2012<BR>Daily From Oct 2012 To Sep 2023<BR>,,
Date,Ticker,Close
08/31/2016,IGEGY10D,17.59
09/30/2016,IGEGY10D,17.5
10/31/2016,IGEGY10D,17.4
11/30/2016,IGEGY10D,17.02
12/31/2016,IGEGY10D,17.15
01/31/2017,IGEGY10D,17.35
02/28/2017,IGEGY10D,16.95
03/31/2017,IGEGY10D,17.42
04/30/2017,IGEGY10D,17.13
05/31/2017,IGEGY10D,18.59
06/30/2017,IGEGY10D,18.37
07/31/2017,IGEGY10D,18.64
08/31/2017,IGEGY10D,16.84
09/30/2017,IGEGY10D,15.45
10/31/2017,IGEGY10D,15.65
11/30/2017,IGEGY10D,16.21
12/31/2017,IGEGY10D,16.18
01/31/2018,IGEGY10D,14.75
02/28/2018,IGEGY10D,14.8
03/31/2018,IGEGY10D,14.825
04/30/2018,IGEGY10D,14.875
05/31/2018,IGEGY10D,15.32
06/30/2018,IGEGY10D,16.95
07/31/2018,IGEGY10D,17.11
08/31/2018,IGEGY10D,18.15
09/30/2018,IGEGY10D,18.72
10/31/2018,IGEGY10D,18.05
11/30/2018,IGEGY10D,17.8
12/31/2018,IGEGY10D,18.106
01/31/2019,IGEGY10D,17.75
02/28/2019,IGEGY10D,17.6
03/31/2019,IGEGY10D,16.6
04/30/2019,IGEGY10D,16.3
05/31/2019,IGEGY10D,15.964
06/30/2019,IGEGY10D,15.73
07/31/2019,IGEGY10D,15.73
08/31/2019,IGEGY10D,14.71
09/30/2019,IGEGY10D,13.9
10/31/2019,IGEGY10D,14.16
11/30/2019,IGEGY10D,13.883
12/31/2019,IGEGY10D,13.702
01/31/2020,IGEGY10D,13.65
02/29/2020,IGEGY10D,13.65
03/31/2020,IGEGY10D,14.954
04/30/2020,IGEGY10D,13.6
05/31/2020,IGEGY10D,13.997
06/30/2020,IGEGY10D,13.911
07/31/2020,IGEGY10D,14.459
08/31/2020,IGEGY10D,14.747
09/30/2020,IGEGY10D,14.578
10/31/2020,IGEGY10D,14.687
11/30/2020,IGEGY10D,14.478
12/31/2020,IGEGY10D,14.481
01/31/2021,IGEGY10D,14.481
02/28/2021,IGEGY10D,14.649
03/31/2021,IGEGY10D,14.915
04/30/2021,IGEGY10D,15.349
05/31/2021,IGEGY10D,14.894
06/30/2021,IGEGY10D,14.823
07/31/2021,IGEGY10D,15.316
08/31/2021,IGEGY10D,15.272
09/30/2021,IGEGY10D,14.88
10/31/2021,IGEGY10D,14.913
11/30/2021,IGEGY10D,14.915
12/31/2021,IGEGY10D,14.893
01/31/2022,IGEGY10D,14.893
02/28/2022,IGEGY10D,14.891
03/31/2022,IGEGY10D,15.51
04/30/2022,IGEGY10D,15.27
05/31/2022,IGEGY10D,17.28
06/30/2022,IGEGY10D,17.017
07/31/2022,IGEGY10D,17.994
08/31/2022,IGEGY10D,18.565
09/30/2022,IGEGY10D,18.718
10/31/2022,IGEGY10D,18.03
11/30/2022,IGEGY10D,18.55
12/31/2022,IGEGY10D,18.3
01/31/2023,IGEGY10D,19.87
02/28/2023,IGEGY10D,21.1
03/31/2023,IGEGY10D,22.42
04/30/2023,IGEGY10D,23.53
05/31/2023,IGEGY10D,23.98
06/30/2023,IGEGY10D,22.73
07/31/2023,IGEGY10D,23.21
08/31/2023,IGEGY10D,24
09/30/2023,IGEGY10D,25.418
