date,value,mo12m
2014-07-01,1002133,6.037516638908699
2014-08-01,1020561,7.429509190700456
2014-09-01,1021826,7.875742299875953
2014-10-01,1028667,7.667598203912457
2014-11-01,1033416,8.388152374559489
2014-12-01,1059018,8.184161249888906
2015-01-01,1044751,8.55559630968474
2015-02-01,1052741,8.705609990572398
2015-03-01,1066042,8.738408748506945
2015-04-01,1055846,7.068896106727564
2015-05-01,1065807,7.535290776220509
2015-06-01,1077724,8.186429465564716
2015-07-01,1087323,8.500867649304034
2015-08-01,1094497,7.2446428973868295
2015-09-01,1106539,8.290354717926535
2015-10-01,1120684,8.945266057917674
2015-11-01,1130022,9.348219884344736
2015-12-01,1154987,9.062074487874616
2016-01-01,1151165,10.18558489056244
2016-02-01,1158726,10.067528480414461
2016-03-01,1162418,9.040544368795976
2016-04-01,1178155,11.583980997228762
2016-05-01,1189187,11.57620469747337
2016-06-01,1200702,11.410899265489123
2016-07-01,1203820,10.714111630122789
2016-08-01,1204445,10.045527762981534
2016-09-01,1209915,9.34228255849997
2016-10-01,1218088,8.691477704687495
2016-11-01,1239495,9.687687496349628
2016-12-01,1265475,9.566168277218704
2017-01-01,1249010,8.499650354206391
2017-02-01,1253838,8.20832535042797
2017-03-01,1253371,7.824465897809566
2017-04-01,1257184,6.707861019984637
2017-05-01,1263876,6.280677471247163
2017-06-01,1260702,4.997076710124577
2017-07-01,1264294,5.023508497948198
2017-08-01,1269801,5.42623365948632
2017-09-01,1275939,5.456912262431659
2017-10-01,1287689,5.713954985189904
2017-11-01,1295821,4.5442700454620635
2017-12-01,1324369,4.653904660305419
2018-01-01,1309614,4.852162913027118
2018-02-01,1315388,4.908927628609119
2018-03-01,1325797,5.778496550502605
2018-04-01,1328848,5.700358897345178
2018-05-01,1346708,6.553807493773124
2018-06-01,1352496,7.281181437008905
2018-07-01,1356808,7.317443569296382
2018-08-01,1365479,7.534881449927981
2018-09-01,1376165,7.855077711395294
2018-10-01,1394704,8.310624692763549
2018-11-01,1409695,8.787787819459632
2018-12-01,1445744,9.164741850647365
2019-01-01,1425080,8.81679639954979
2019-02-01,1443686,9.753624025762742
2019-03-01,1456838,9.883941508390802
2019-04-01,1466745,10.37718384645949
2019-05-01,1480237,9.915215473584475
2019-06-01,1477865,9.269454401343886
2019-07-01,1490533,9.855852854641187
2019-08-01,1500115,9.859983200034566
2019-09-01,1505817,9.421253992072172
2019-10-01,1523592,9.241244020236552
2019-11-01,1542231,9.401750023941348
2019-12-01,1565221,8.264049513606835
2020-01-01,1557428,9.287057568697898
2020-02-01,1579015,9.37385276299694
2020-03-01,1628074,11.753949306649059
2020-04-01,1672787,14.047567913986413
2020-05-01,1717552,16.032229973983895
2020-06-01,1745876,18.135012331978903
2020-07-01,1740478,16.768833699086166
2020-08-01,1743745,16.240754875459547
2020-09-01,1761824,17.00120266938147
2020-10-01,1782265,16.977839211547447
2020-11-01,1790331,16.08708423057246
2020-12-01,1822376,16.42930934353679
2021-01-01,1819840,16.849061401233314
2021-02-01,1836598,16.312891264490837
2021-03-01,1862402,14.392957568267782
2021-04-01,1859964,11.189529808636724
2021-05-01,1871969,8.99052837992678
2021-06-01,1875998,7.453106635293686
2021-07-01,1894515,8.850269868392475
2021-08-01,1902571,9.108327192336036
2021-09-01,1914200,8.648764008209673
2021-10-01,1935695,8.608708581496018
2021-11-01,1971939,10.143822566888469
2021-12-01,1984816,8.913638019815888
2022-01-01,1960127,7.708754615790399
2022-02-01,1984236,8.038667144361478
2022-03-01,2007244,7.777160892224128
2022-04-01,2010916,8.115856005815166
2022-05-01,2012845,7.525551972281592
2022-06-01,1996504,6.4235676157437265
2022-07-01,2010325,6.1129101643428525
2022-08-01,2041662,7.310686434303897
2022-09-01,2059651,7.598526799707449
2022-10-01,2068908,6.8819209637882
2022-11-01,2079669,5.463150736407161
2022-12-01,2088964,5.247237023482278
2023-01-01,2093967,6.828128993682552
2023-02-01,2128997,7.295553553105578
2023-03-01,2140215,6.624555858679861
2023-04-01,2147526,6.7934215054233995
2023-05-01,2157899,7.206416788177927
2023-06-01,2157334,8.055581155860445
2023-07-01,2173124,8.098143335032892
