date,value,mo12m
2010-09-01,948482.88165556,11.836161231811092
2010-10-01,961555.9658273,13.38429224774042
2010-11-01,963567.39243969,12.7834511619101
2010-12-01,974275.94780046,12.41851334064819
2011-01-01,970029.07639461,11.750310909586828
2011-02-01,982865.49530641,12.213810098350876
2011-03-01,988395.58777516,11.246012553829312
2011-04-01,988140.5472301,10.942436340130012
2011-05-01,995612.61281562,11.075757324494628
2011-06-01,1010619.96779131,10.117528829064447
2011-07-01,1019253.67763016,10.435079396063106
2011-08-01,1024688.6290086,9.528772131897636
2011-09-01,1024763.43612934,8.042375455488836
2011-10-01,1031269.16084395,7.250040298660145
2011-11-01,1032032.65930976,7.1053947453244986
2011-12-01,1039210.32647927,6.664885736469918
2012-01-01,1044218.70524296,7.648186085730231
2012-02-01,1050472.07503966,6.87851797179772
2012-03-01,1055341.59173176,6.773199393503246
2012-04-01,1059118.09666159,7.18294068899918
2012-05-01,1067931.00613141,7.263708031105738
2012-06-01,1094758.90579572,8.325477497569524
2012-07-01,1102227.63989276,8.140658609691803
2012-08-01,1115623.96159219,8.87443560992485
2012-09-01,1124690.61525248,9.751243613899558
2012-10-01,1145014.47686128,11.029643892797612
2012-11-01,1147860.28925763,11.223252375107723
2012-12-01,1167524.79286748,12.3473047869843
2013-01-01,1198460.35012494,14.77100956988626
2013-02-01,1211684.41621232,15.346656517887302
2013-03-01,1237306.73096824,17.24229772256818
2013-04-01,1253232.58373994,18.327936014898782
2013-05-01,1268887.34355245,18.817352082416473
2013-06-01,1296063.32785356,18.388014109053806
2013-07-01,1316434.03479168,19.433952402042927
2013-08-01,1329873.89657686,19.204493840280914
2013-09-01,1335351.74403369,18.730584742535548
2013-10-01,1348870.88990723,17.80382843758992
2013-11-01,1360521.78932708,18.52677560672363
2013-12-01,1388078.59250845,18.89071658163955
2014-01-01,1398648.62039055,16.703787509093665
2014-02-01,1418020.87567106,17.028894380249604
2014-03-01,1438819.44065587,16.286398889137097
2014-04-01,1459970.09984772,16.496340646588255
2014-05-01,1484825.31560598,17.01789943376516
2014-06-01,1517008.8735588,17.047434408251714
2014-07-01,1545442.41943488,17.396115459703942
2014-08-01,1557793.96640093,17.138472332658296
2014-09-01,1544174.65920407,15.638045638790992
2014-10-01,1560747.42363139,15.707695622279475
2014-11-01,1573372.53085631,15.64478740428751
2014-12-01,1606928.41039147,15.766385207881362
2015-01-01,1627971.08330812,16.396002510876208
2015-02-01,1637803.24523338,15.499233708975602
2015-03-01,1682651.10041837,16.946647569020342
2015-04-01,1700842.80499581,16.49846837090799
2015-05-01,1720475.50384482,15.87056644051542
2015-06-01,1765920.04466736,16.40802341021455
2015-07-01,1799918.73186462,16.466243531919755
2015-08-01,1819547.87802815,16.802858225980078
2015-09-01,1850736.12214137,19.852771259393304
2015-10-01,1868605.26569856,19.72502644603938
2015-11-01,1877260.12967818,19.31440856263576
2015-12-01,1905896.8697952,18.604964444613756
2016-01-01,1909855.40504808,17.31506932955816
2016-02-01,1923119.59083527,17.420672869727625
2016-03-01,1988273.89291302,18.163170749935073
2016-04-01,2007067.5505625801,18.004294380839305
2016-05-01,2044728.85359744,18.846728653096037
2016-06-01,2094935.93343098,18.631414811625607
2016-07-01,2120151.9333474,17.791536685161073
2016-08-01,2152085.35380315,18.27582993503704
2016-09-01,2183587.03011984,17.984784756529695
2016-10-01,2198635.53525288,17.66185055841321
2016-11-01,2601609.98277413,38.585481129891456
2016-12-01,2658900.37033787,39.50914199379449
2017-01-01,2702075.05275553,41.48060872113541
2017-02-01,2627634.8393426,36.63398011567952
2017-03-01,2751280.62353923,38.375333164402655
2017-04-01,2785015.61874629,38.76043275004129
2017-05-01,2849601.3992605,39.363289868335805
2017-06-01,2918192.96082092,39.2974799015286
2017-07-01,2940814.60091115,38.70772913279134
2017-08-01,3003886.09275697,39.58024887110187
2017-09-01,3050372.86289323,39.69550197986928
2017-10-01,3088052.31278789,40.45312482556197
2017-11-01,3140628.83839901,20.718664949544706
2017-12-01,3202658.6229393,20.450493695344203
2018-01-01,3254247.54586027,20.43512790444677
2018-02-01,3294895.89364031,25.393979570793398
2018-03-01,3343484.19503663,21.524651699672617
2018-04-01,3379461.40136582,21.344432635071797
2018-05-01,3401359.66776748,19.362647303941063
2018-06-01,3454321.05655671,18.371920669186025
2018-07-01,3466152.33798036,17.863680930666103
2018-08-01,3515419.23558216,17.02904594347332
2018-09-01,3549305.61747898,16.356451391733163
2018-10-01,3563375.60171928,15.39233279705254
2018-11-01,3581583.45364031,14.040328798167842
2018-12-01,3628680.7510172,13.302139823035846
2019-01-01,3640092.60330263,11.856659704120965
2019-02-01,3674699.5182713,11.527029590345276
2019-03-01,3724688.55108141,11.40141043916625
2019-04-01,3762426.49815559,11.332134068316144
2019-05-01,3796864.12096941,11.627833920354673
2019-06-01,3863641.74277965,11.849526419844523
2019-07-01,3884854.96722664,12.079752659983997
2019-08-01,3929472.48374503,11.778203975558046
2019-09-01,4010380.8237,12.990574943741104
2019-10-01,4024016.22103387,12.927085741181402
2019-11-01,4053148.53044017,13.166385284714293
2019-12-01,4110515.51810293,13.278510845867638
2020-01-01,4140451.38104101,13.745770568704977
2020-02-01,4186575.14408269,13.929727404002636
2020-03-01,4276765.37394489,14.822093586944122
2020-04-01,4353065.02617753,15.698340640315013
2020-05-01,4451433.83638797,17.239745604892377
2020-06-01,4538807.535583,17.47485501379872
2020-07-01,4627172.739243,19.10799188846665
2020-08-01,4682127.893278,19.15410815692092
2020-09-01,4757180.183895,18.621656970372175
2020-10-01,4805874.74100319,19.429805374105612
2020-11-01,4845957.95206341,19.560334778482474
2020-12-01,4920524.92586382,19.70578639573468
2021-01-01,4959490.818055,19.781404529089382
2021-02-01,5023184.61911404,19.98314723226251
2021-03-01,5131876.33454436,19.994338847976486
2021-04-01,5184027.07087345,19.089125471337045
2021-05-01,5257354.92337067,18.104752684286762
2021-06-01,5356608.63836808,18.017972702604055
2021-07-01,5425831.93118443,17.260198331650994
2021-08-01,5490612.7948433,17.267467271152917
2021-09-01,5574010.84586024,17.170479788227183
2021-10-01,5651909.00263671,17.604167965828353
2021-11-01,5740126.6688517,18.451846376577677
2021-12-01,5822649.48661002,18.333908969840802
2022-01-01,5876620.56512134,18.492417482204697
2022-02-01,5948841.10948056,18.427682049436225
2022-03-01,6280451.99988597,22.381203101293902
2022-04-01,6416250.94182697,23.76962647199111
2022-05-01,6500587.45103381,23.64749091100096
2022-06-01,6614488.1712716,23.48275966800403
2022-07-01,6708871.1262976,23.646865796543196
2022-08-01,6808404.660786,24.00081585028815
2022-09-01,6949656.14749223,24.679630873945413
2022-10-01,7181661.03395923,27.06611218632263
2022-11-01,7317011.59370994,27.47125657374549
2022-12-01,7402740.41982486,27.13697496042783
2023-01-01,7710432.07119886,31.20520519840056
2023-02-01,7822810.00115802,31.501411067963314
2023-03-01,7965912.93338276,26.83661834414771
2023-04-01,8069150.78992685,25.761147172794825
2023-05-01,8140532.31384939,25.227640965814153
2023-06-01,8248189.27508625,24.698828715277298
2023-07-01,8343414.24260547,24.363906915736504
