,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
5039,2003-02-02,690.85,514.6755,31037.45445024999,1853.9787723749992,43.0578537827305
5040,2003-01-30,574.92,504.924,4899.440015999998,304.0563633749999,17.437212029880232
5041,2003-01-29,527.14,500.8205,692.7160802500002,63.45315038749991,7.965748576718946
5042,2003-01-28,500.98,499.0469999999999,3.7364890000004114,34.526341887499825,5.87591200474444
5043,2003-01-27,501.93,498.79799999999994,9.809424000000387,36.418675049999855,6.034788732838943
5044,2003-01-26,502.47,498.53999999999996,15.4449000000005,37.36039904999983,6.1123153591744455
5045,2003-01-23,500.58,498.51800000000003,4.2518439999998145,36.6004300624998,6.049828928366471
5046,2003-01-22,504.17,498.762,29.246464000000167,37.62885406249982,6.134236224869386
5047,2003-01-21,496.76,498.6925,3.7345562500000176,36.86871867499977,6.0719616826030585
5048,2003-01-20,495.13,499.035,15.24902500000023,38.41571247499978,6.19804101914466
5049,2003-01-19,495.21,499.3084999999999,16.797702249999546,38.563199024999776,6.209927457305743
5050,2003-01-16,496.3,499.3755,9.458700249999858,37.832833912499794,6.150840098108533
5051,2003-01-15,494.28,499.3505,25.70997025000039,37.5180520124998,6.125198120265156
5052,2003-01-14,494.45,499.809,28.7188810000004,41.68066761249982,6.456056661190313
5053,2003-01-13,494.74,500.33549999999997,31.309620249999536,48.76572207499983,6.983245812299595
5054,2003-01-12,500.12,500.8905,0.5936702499999538,58.85888606249981,7.671954513844553
5055,2003-01-09,499.44,501.28650000000005,3.40956225000018,76.75023374999986,8.760721074774603
5056,2003-01-08,507.72,501.879,34.1172810000001,104.80188383749994,10.237279122769875
5057,2003-01-06,516.68,502.059,213.77364099999778,135.38958958749976,11.635703227029287
5058,2003-01-05,499.64,501.78550000000007,4.603170250000359,160.4095163374997,12.6652878505583
5059,2003-01-02,495.82,502.0655,39.00627024999991,184.56009402499964,13.585289618738338
5060,2002-12-31,492.85,502.19749999999993,87.37575624999835,195.81371802499956,13.993345490803819
5061,2002-12-30,491.67,502.35549999999995,114.17991024999858,201.79206072499957,14.205353241823998
5062,2002-12-29,496.0,502.4485000000001,41.58315225000104,203.85374632499958,14.277736036395952
5063,2002-12-26,496.77,502.12199999999996,28.643903999999736,205.63955191249957,14.340137792660835
5064,2002-12-25,502.03,501.53450000000004,0.24552024999993646,205.42580832499957,14.332683221399947
5065,2002-12-24,505.46,500.47799999999995,24.820324000000276,205.48392142499955,14.334710371158517
5066,2002-12-23,502.78,499.0325000000001,14.043756249999165,204.66820383749953,14.306229546512231
5067,2002-12-22,503.61,497.7215,34.67443225000026,204.40944022499954,14.297182947175276
5068,2002-12-19,500.6,496.334,18.198756000000166,203.48695781249955,14.264885481927275
5069,2002-12-18,496.55,495.07000000000005,2.1903999999998858,203.88083712499952,14.278684712710744
5070,2002-12-17,495.8,494.0215,3.163062250000029,205.2322886374995,14.32593063774565
5071,2002-12-16,503.45,493.01149999999996,108.9622822500007,206.84247597499945,14.382019189773022
5072,2002-12-15,504.98,491.9255,170.4199702500005,201.39465447499938,14.191358443609245
5073,2002-12-12,505.84,490.57,233.17289999999946,193.56818241249934,13.91287829359904
5074,2002-12-11,508.04,489.108,358.4206240000006,183.14706866249935,13.53318398095952
5075,2002-12-10,511.29,487.532,564.4425640000018,166.5591240749993,12.905778708586293
