,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
2598,2013-05-21,45851.8,44717.2735,1287150.37920225,1197610.9350074106,1094.3541177367638
2599,2013-05-20,46041.35,44597.071,2085941.8298409856,1228964.637948548,1108.586775109891
2600,2013-05-17,46078.68,44463.2385,2609651.2399222525,1251978.0774177485,1118.9182621700963
2601,2013-05-16,45992.03,44355.1165,2679485.806482258,1194619.5283331485,1092.9865179100557
2602,2013-05-15,46102.42,44291.721999999994,3278627.2472040146,1076432.6613702858,1037.5127282931453
2603,2013-05-14,45771.11,44262.897000000004,2274706.4533689884,913161.261637285,955.5947162041474
2604,2013-05-13,45207.84,44258.7655,900742.4065502408,801616.7972163484,895.3305519283637
2605,2013-05-10,44895.35,44252.955,412671.3360249959,766868.254789849,875.7101431351866
2606,2013-05-09,44943.16,44244.439,488211.035841007,787848.3858081119,887.6082389253222
2607,2013-05-08,45117.94,44226.82950000001,794077.9232102415,831161.5090631742,911.6805959672358
2608,2013-05-07,44742.22,44200.815500000004,293118.8326202467,871449.0036351113,933.5143296356576
2609,2013-05-06,44541.73,44194.899,120291.74256100388,947494.991699411,973.3935441019788
2610,2013-05-02,43991.51,44198.043000000005,42655.88008900127,1049342.0998841734,1024.3740039088132
2611,2013-04-30,44162.18,44263.70450000001,10307.224100251382,1082933.9662161737,1040.6411322911342
2612,2013-04-29,43882.16,44312.974,185600.7025959987,1137992.550375611,1066.767336571387
2613,2013-04-26,43665.21,44381.261,512729.03460099926,1179775.7583634239,1086.1748286364511
2614,2013-04-25,43482.18,44434.2445,906426.8121602507,1279480.8553086864,1131.1413949231485
2615,2013-04-24,43356.73,44489.390499999994,1282919.8082602292,1392624.1958507248,1180.0949944181293
2616,2013-04-23,43159.57,44574.863,2003054.2758489938,1424282.8400827127,1193.433215593865
2617,2013-04-22,43360.3,44695.908,1783848.7296640004,1365903.3081587127,1168.7186608242005
2618,2013-04-19,43447.75,44831.305,1914224.4380250007,1286445.4423696252,1134.215782983831
2619,2013-04-18,43364.7,44960.384999999995,2546210.6192249926,1202220.8606543874,1096.4583259998474
2620,2013-04-17,43916.24,45125.5705,1462480.258230259,1075844.3803112505,1037.2291840819223
2621,2013-04-15,44724.14,45286.055,315748.46722500096,1020852.9406112501,1010.3726741214106
2622,2013-04-12,45525.92,45411.032,13199.252543999773,1032278.9383885125,1016.011288514312
2623,2013-04-11,45688.48,45479.1545,43817.164950252634,1041881.351101625,1020.7258942055037
2624,2013-04-10,45091.63,45545.2505,205771.55802025413,1057639.7686399126,1028.416145653068
2625,2013-04-09,44725.03,45637.3205,832273.9563902551,1062605.21975295,1030.827444217969
2626,2013-04-08,44590.97,45754.7885,1354473.5009422528,1045562.6584954497,1022.5275832443102
2627,2013-04-05,44597.66,45862.503,1599827.8146489835,985386.6837875372,992.6664514264281
2628,2013-04-04,44623.89,45970.752499999995,1814038.5939062382,914498.852215288,956.2943334639644
2629,2013-04-03,44604.61,46073.3625,2157233.9062562566,830672.0551090884,911.412121440728
2630,2013-04-02,45304.74,46150.017,714493.2067290031,724213.3565523255,851.0072599880248
2631,2013-03-28,45147.57,46201.837,1111478.9072889995,688499.9259749879,829.758956550026
2632,2013-03-27,45247.9,46258.476500000004,1021264.8623522557,633214.8984225504,795.7480118872747
2633,2013-03-26,44724.88,46308.1775,2506830.973506252,583166.1842061877,763.6531831965266
2634,2013-03-25,44585.1,46365.351,3169293.623001014,472937.4554839881,687.7044826696915
2635,2013-03-22,45066.18,46450.409999999996,1916092.6928999887,316570.9709439875,562.6463995654709
2636,2013-03-21,45580.47,46494.507,835463.6373689938,238461.6367989881,488.32533909166347
2637,2013-03-20,46068.24,46509.4785,194691.41388224953,224544.96129715053,473.86175335972257
2638,2013-03-19,46029.35,46508.6545,229732.80372024843,237771.4427341504,487.61813208098647
2639,2013-03-18,46668.41,46531.7315,18681.012362250494,231488.4211984505,481.13243623606434
2640,2013-03-15,47125.93,46523.7245,362651.4642302544,237560.0688365382,487.40134267002
2641,2013-03-14,47223.68,46485.9345,544268.4227702459,236472.9964062755,486.2848922249955
