Date,Current_over_GDP,Curr Balance/GDP MA3
2008-08-31,-7.32904260739787,-7.044300304695738
2008-09-30,-7.69180512926206,-7.304920152853444
2008-10-31,-8.47739754895074,-7.832748428536891
2008-11-30,-8.48584444410602,-8.21834904077294
2008-12-31,-7.39289845945518,-8.118713484170646
2009-01-31,-5.70988087174572,-7.196207925102307
2009-02-28,-3.67393229237772,-5.59223720785954
2009-03-31,-1.84215255139782,-3.74198857184042
2009-04-30,-1.74580300811608,-2.4206292839638732
2009-05-31,-2.84446284946241,-2.14413946965877
2009-06-30,-4.11388995932057,-2.9013852722996867
2009-07-31,-4.51173809685627,-3.823363635213083
2009-08-31,-4.40620046643381,-4.343942840870216
2009-09-30,-4.34011475911176,-4.419351107467279
2009-10-31,-4.41139996626888,-4.38590506393815
2009-11-30,-4.52843094205601,-4.426648555812217
2009-12-31,-4.81958718182534,-4.5864726967167435
2010-01-31,-5.09691426357597,-4.814977462485774
2010-02-28,-5.36232635047455,-5.092942598625286
2010-03-31,-5.07528396183156,-5.17817485862736
2010-04-30,-4.41891809755757,-4.952176136621226
2010-05-31,-4.16897176205864,-4.554391273815923
2010-06-30,-4.10363452746421,-4.2305081290268065
2010-07-31,-4.44507816928638,-4.23922815293641
2010-08-31,-5.26351584476061,-4.604076180503733
2010-09-30,-6.00030792291122,-5.236300645652737
2010-10-31,-5.8712044548494,-5.7116760741737425
2010-11-30,-5.77177009809274,-5.881094158617787
2010-12-31,-5.59612631000569,-5.746366954315943
2011-01-31,-4.86175227479664,-5.409882894298356
2011-02-28,-4.34110977046469,-4.9329961184223405
2011-03-31,-4.28648076777142,-4.49644760434425
2011-04-30,-4.6165229759971,-4.414704504744403
