"Date","Current_over_GDP"
"2011-10-31",-5.3518839647147
"2011-11-30",-4.36842716484436
"2011-12-31",-4.15156908704148
"2012-01-31",-4.78446402547659
"2012-02-29",-5.5635659012244
"2012-03-31",-6.27869169944425
"2012-04-30",-6.01182130331984
"2012-05-31",-5.31482377834533
"2012-06-30",-4.54454463871785
"2012-07-31",-4.27903072868457
"2012-08-31",-4.21657438822664
"2012-09-30",-3.95513620763074
"2012-10-31",-3.22032824234274
"2012-11-30",-2.43843084240949
"2012-12-31",-1.83161189630524
"2013-01-31",-1.76081680243055
"2013-02-28",-2.07042467795915
"2013-03-31",-2.6046875470933
"2013-04-30",-2.991205792128
"2013-05-31",-3.21943253044926
"2013-06-30",-3.27533742337332
"2013-07-31",-3.12240681101204
"2013-08-31",-2.61457284744907
"2013-09-30",-1.89538055183921
"2013-10-31",-1.00140499698307
"2013-11-30",-0.420063304642398
"2013-12-31",-0.423429799992236
"2014-01-31",-1.24173390845869
"2014-02-28",-2.62249543968534
"2014-03-31",-3.92112544466063
"2014-04-30",-4.73697872873348
"2014-05-31",-4.94449628058218
"2014-06-30",-4.82402174574876
"2014-07-31",-4.62188624855874
"2014-08-31",-4.24141290047031
"2014-09-30",-3.3531764996914
"2014-10-31",-1.97536154612772
"2014-11-30",-0.64383740761921
"2014-12-31",0.0647311989687229
"2015-01-31",-0.0926266573581342
"2015-02-28",-0.87346154514294
"2015-03-31",-1.67914566694936
"2015-04-30",-1.95377527782974
"2015-05-31",-1.91097698227695
"2015-06-30",-2.1075136584084
"2015-07-31",-2.720577528396
"2015-08-31",-3.22932039677839
"2015-09-30",-2.86141280662929
"2015-10-31",-1.41493674946815
"2015-11-30",0.246706286258931
"2015-12-31",1.14207277506434
"2016-01-31",0.827554580205709
"2016-02-29",-0.23732313849907
"2016-03-31",-0.902994833734049
"2016-04-30",-0.414349125761801
"2016-05-31",0.391665257675803
"2016-06-30",0.330344819690719
"2016-07-31",-1.30134083974767
"2016-08-31",-3.40476783728816
"2016-09-30",-4.39473149748241
"2016-10-31",-3.18560333909367
"2016-11-30",-0.992162123621689
"2016-12-31",0.783199778358479
"2017-01-31",1.27890228702093
"2017-02-28",0.728031636955786
"2017-03-31",-0.187376579906348
"2017-04-30",-1.09720207361651
"2017-05-31",-1.63372565979167
"2017-06-30",-1.92769181003679
"2017-07-31",-1.98292356453825
"2017-08-31",-1.84265939327902
"2017-09-30",-1.54353319576624
"2017-10-31",-1.18234999157235
"2017-11-30",-0.877542213622506
"2017-12-31",-0.818925378267509
"2018-01-31",-1.05204803407902
"2018-02-28",-1.42773887609016
"2018-03-31",-1.67238285171011
"2018-04-30",-1.51930950699592
"2018-05-31",-1.37587874441829
"2018-06-30",-1.57148875764168
"2018-07-31",-2.3946873037905
"2018-08-31",-3.38815066244178
"2018-09-30",-3.69368430916068
"2018-10-31",-3.02711494946478
"2018-11-30",-1.85634402031143
"2018-12-31",-0.928042086362097
"2019-01-31",-0.603061660811641
"2019-02-28",-0.702510594932551
"2019-03-31",-0.865995095535365
"2019-04-30",-0.841858843308578
"2019-05-31",-0.786193032108344
"2019-06-30",-0.941722193725825
"2019-07-31",-1.44410239808065
"2019-08-31",-1.90619001717816
"2019-09-30",-1.59211091321494
"2019-10-31",-0.270363081965276
"2019-11-30",1.23690196817774
"2019-12-31",2.04974620327683
"2020-01-31",1.83604729380189
"2020-02-29",1.13786453930685
"2020-03-31",0.819890544612294
"2020-04-30",1.66530853940995
"2020-05-31",2.94986067152069
"2020-06-30",3.44191055452539
"2020-07-31",2.71866899535969
"2020-08-31",1.53952885372309
"2020-09-30",1.25899599926197
"2020-10-31",2.27422034317355
"2020-11-30",3.58177067419489
"2020-12-31",3.99850720910609
"2021-01-31",3.19236856853573
"2021-02-28",1.55797458488193
"2021-03-31",0.481353151917978
"2021-04-30",0.594765433611251
"2021-05-31",1.25586456927865
"2021-06-30",1.29841025104825
"2021-07-31",-0.0280408196307195
"2021-08-31",-2.09262518107633
"2021-09-30",-3.59178295080952
"2021-10-31",-3.80091141052769
"2021-11-30",-3.31827398824847
"2021-12-31",-2.84244134832324
"2022-01-31",-2.95266886567089
"2022-02-28",-3.40708810071162
"2022-03-31",-3.89194167688296
"2022-04-30",-3.41039653485531
"2022-05-31",-2.72112840769838
"2022-06-30",-2.17672778448688
"2022-07-31",-2.3919097722865
"2022-08-31",-2.78108078729335
"2022-09-30",-3.11503073624958
"2022-10-31",-2.94304913256661
"2022-11-30",-2.0803460057151
"2022-12-31",-0.937320508051983
"2023-01-31",0.543850821598818
"2023-02-28",2.09102435784066
"2023-03-31",2.99585056596455
"2023-04-30",2.83803776245961
"2023-05-31",1.94825256440181
"2023-06-30",0.669551577662186
