Date,Current_over_GDP,Curr Balance/GDP MA3
1998-10-31,-5.99752164633045,-5.96255821429249
1998-11-30,-6.75776331153221,-6.190924939161028
1998-12-31,-7.61969322080495,-6.791659392889204
1999-01-31,-8.64039793306911,-7.672618155135424
1999-02-28,-9.94871406194735,-8.736268405273803
1999-03-31,-11.0458329276826,-9.87831497423302
1999-04-30,-11.0023411927076,-10.665629394112516
1999-05-31,-10.154125580688,-10.734099900359402
1999-06-30,-9.18975674024866,-10.11540783788142
1999-07-31,-7.98060950144436,-9.108163940793673
1999-08-31,-6.7227414534611,-7.964369231718041
1999-09-30,-6.1682958957862,-6.95721561689722
1999-10-31,-6.21402360192072,-6.3683536503893405
1999-11-30,-7.04862145078452,-6.4769803161638135
1999-12-31,-8.10306172736675,-7.1219022600239965
2000-01-31,-9.12997946008691,-8.093887546079394
2000-02-29,-10.2352694225455,-9.156103536666386
2000-03-31,-10.5545272390733,-9.973258707235237
2000-04-30,-9.67183173598669,-10.153876132535164
2000-05-31,-8.41568508495265,-9.547348020004213
2000-06-30,-6.64692523414647,-8.244814018361936
2000-07-31,-5.97786925300446,-7.013493190701193
2000-08-31,-6.21211591836596,-6.278970135172297
2000-09-30,-7.33293924443364,-6.507641471934687
2000-10-31,-8.99178608772386,-7.512280416841153
2000-11-30,-10.6248290546142,-8.983184795590567
2000-12-31,-11.0644347443034,-10.227016628880486
2001-01-31,-10.5125619431029,-10.733941914006834
2001-02-28,-9.98348905680716,-10.52016191473782
2001-03-31,-9.43332161299441,-9.976457537634824
2001-04-30,-9.18390143989304,-9.533570703231536
2001-05-31,-8.56020361672539,-9.059142223204281
2001-06-30,-7.23685188433285,-8.32698564698376
2001-07-31,-5.17693722585738,-6.9913309089718725
2001-08-31,-2.83721427676824,-5.083667795652823
2001-09-30,-1.83631656417776,-3.2834893556011266
2001-10-31,-2.79307483666739,-2.4888685592044633
2001-11-30,-4.84805587533807,-3.159149092061073
2001-12-31,-6.43893481978911,-4.6933551772648565
2002-01-31,-7.08549273775161,-6.1241611442929305
2002-02-28,-7.02953318692577,-6.8513202481554965
2002-03-31,-6.65926094596023,-6.924762290212537
2002-04-30,-6.26994881674435,-6.652914316543449
2002-05-31,-5.84343218854876,-6.257547317084447
2002-06-30,-5.08473975657696,-5.7327069206233565
2002-07-31,-4.14925943785184,-5.02581046099252
2002-08-31,-3.5791893129045,-4.271062835777767
2002-09-30,-4.01053212286283,-3.912993624539723
2002-10-31,-5.81936883925336,-4.46969675834023
2002-11-30,-7.75598951392747,-5.861963492014553
2002-12-31,-9.01076595393443,-7.528708102371753
2003-01-31,-9.06330601555292,-8.610020494471605
2003-02-28,-8.6415644203279,-8.905212129938418
2003-03-31,-8.38609999079635,-8.696990142225722
2003-04-30,-8.78604632160251,-8.604570244242254
2003-05-31,-8.80518806744488,-8.659111459947914
2003-06-30,-9.42316461793554,-9.00479966899431
2003-07-31,-9.03118354159092,-9.086512075657113
2003-08-31,-7.9227000158684,-8.792349391798286
2003-09-30,-7.06747929562603,-8.00712095102845
2003-10-31,-7.02156968495687,-7.337249665483767
2003-11-30,-7.81784347019718,-7.302297483593359
2003-12-31,-8.04949858167896,-7.629637245611003
2004-01-31,-7.74638946327357,-7.871243838383237
2004-02-29,-7.47495221291919,-7.756946752623907
2004-03-31,-7.8234898938061,-7.681610523332953
2004-04-30,-9.27819537267129,-8.192212493132194
2004-05-31,-10.8375208555834,-9.313068707353596
2004-06-30,-11.5873221105203,-10.56767944625833
2004-07-31,-11.0887933755162,-11.1712121138733
2004-08-31,-10.1960848789855,-10.957400121674
2004-09-30,-8.98616332365298,-10.090347192718227
2004-10-31,-8.02336862272106,-9.068538941786514
2004-11-30,-7.44232241926476,-8.1506181218796
2004-12-31,-7.46478877811404,-7.64349327336662
2005-01-31,-8.39451097814833,-7.767207391842376
2005-02-28,-9.32904642501676,-8.39611539375971
2005-03-31,-10.0348343995786,-9.25279726758123
2005-04-30,-10.4789714950109,-9.947617439868752
2005-05-31,-10.4967963228579,-10.3368674058158
2005-06-30,-10.5185341679349,-10.498100661934567
2005-07-31,-10.4508013187319,-10.4887106031749
2005-08-31,-10.1798400845249,-10.383058523730567
2005-09-30,-10.1069045718823,-10.2458486583797
2005-10-31,-10.0425499619132,-10.109764872773468
2005-11-30,-9.63317721524183,-9.927543916345776
2005-12-31,-9.24631851243336,-9.640681896529463
2006-01-31,-8.94195576849189,-9.273817165389028
2006-02-28,-9.08558300957361,-9.09128576349962
2006-03-31,-9.23052005538598,-9.086019611150492
2006-04-30,-8.52357432273385,-8.946559129231147
2006-05-31,-7.31072559134794,-8.35493998982259
2006-06-30,-7.04006727184023,-7.624789061974006
2006-07-31,-6.90122890501664,-7.084007256068269
2006-08-31,-6.7185352996514,-6.886610492169424
2006-09-30,-6.84005230972953,-6.819938838132523
2006-10-31,-6.76384849194125,-6.774145367107393
2006-11-30,-6.46865165380325,-6.6908508184913424
2006-12-31,-6.27437234875696,-6.502290831500486
2007-01-31,-6.54712643396517,-6.43005014550846
2007-02-28,-6.79833028087538,-6.5399430211991705
2007-03-31,-7.12775625014855,-6.824404321663033
2007-04-30,-7.50402337393102,-7.143369968318317
2007-05-31,-7.98561525031045,-7.539131624796673
2007-06-30,-8.10322324467267,-7.864287289638046
2007-07-31,-7.28286026630262,-7.790566253761913
2007-08-31,-6.84741062783754,-7.41116471293761
2007-09-30,-6.30380516418124,-6.811358686107134
2007-10-31,-6.38367594226036,-6.511630578093047
2007-11-30,-6.89005848533402,-6.525846530591873
2007-12-31,-7.40615264037873,-6.893295689324369
2008-01-31,-7.53628416385128,-7.277498429854677
2008-02-29,-7.39867162200841,-7.447036142079473
2008-03-31,-6.49690807436714,-7.143954620075611
2008-04-30,-5.6531280312506,-6.516235909208717
2008-05-31,-5.20966800065922,-5.786568035425653
2008-06-30,-5.18519461964103,-5.349330217183617
2008-07-31,-5.44935290989089,-5.28140517673038
2008-08-31,-6.75278618306911,-5.795777904200343
2008-09-30,-8.0416182157842,-6.747919102914733
2008-10-31,-9.62138336347197,-8.138595920775094
2008-11-30,-10.0171600786098,-9.226720552621991
2008-12-31,-8.46857974472687,-9.369041062269547
2009-01-31,-7.16789144677342,-8.551210423370032
2009-02-28,-4.99394859419087,-6.876806595230388
2009-03-31,-2.51931612691106,-4.893718722625118
2009-04-30,-0.923875962001184,-2.812380227701039
2009-05-31,-0.457612425123901,-1.3002681713453823
2009-06-30,-0.303399999086145,-0.5616294620704106
2009-07-31,0.0616046071361982,-0.23313593902461652
2009-08-31,0.46823041235628,0.0754783401354438
2009-09-30,0.545489268922514,0.3584414294716634
2009-10-31,0.107969134146799,0.3738962718085304
2009-11-30,-0.481692423883307,0.05725532639533474
2009-12-31,-0.859731250513298,-0.4111515134166026
2010-01-31,-0.779144484601137,-0.7068560529992479
2010-02-28,-0.317880166476686,-0.6522519671970409
2010-03-31,0.26217539362646,-0.27828308581712163
2010-04-30,0.734761501366329,0.2263522428387004
2010-05-31,1.12456871202059,0.7071685356711258
2010-06-30,1.49573195165205,1.1183540550129891
2010-07-31,1.81883233654641,1.479711000073016
2010-08-31,1.93915273351034,1.751239007236266
2010-09-30,1.42598160526211,1.727988891772953
2010-10-31,0.168746561970813,1.1779603002477537
2010-11-30,-1.07242657390862,0.1741005311081004
2010-12-31,-1.76374661448762,-0.8891422088084763
2011-01-31,-1.3835556826731,-1.4065762903564474
2011-02-28,-0.301433009557654,-1.1495784355727918
2011-03-31,0.629613327480942,-0.3517917882499379
2011-04-30,0.919282244909606,0.41582085427763077
2011-05-31,0.796897134386443,0.7819309022589964
2011-06-30,0.703628191341926,0.8066025235459912
2011-07-31,0.950932913161621,0.8171527462966628
2011-08-31,1.30512478469543,0.986561963066325
2011-09-30,1.46310955108534,1.2397224163141296
2011-10-31,0.989786314081208,1.252673549953992
2011-11-30,0.248704394469202,0.9005334198785828
2011-12-31,-0.291520241802262,0.3156568222493821
2012-01-31,-0.339176160706991,-0.12733066934668427
2012-02-29,0.0878258088706286,-0.1809568645462087
2012-03-31,0.691567741018465,0.14673912972736694
2012-04-30,1.32695474539203,0.7021160984270406
2012-05-31,1.98416884764917,1.3342304446865543
2012-06-30,2.93900249903207,2.083375364024423
2012-07-31,4.10890965476745,3.0106936671495625
2012-08-31,4.77760609872701,3.941839417508843
2012-09-30,4.18624251761975,4.357586090371402
2012-10-31,2.03652186821861,3.666790161521789
2012-11-30,-0.340038322130671,1.9609086879025623
2012-12-31,-1.41325065168732,0.09441096480020568
2013-01-31,-0.321594177378646,-0.6916277170655464
2013-02-28,2.19304797740772,0.15273438278058396
2013-03-31,4.45813799790364,2.1098639326442377
2013-04-30,4.48523679355045,3.7121409229539366
2013-05-31,3.33818693897242,4.09385391014217
2013-06-30,2.69124851194555,3.5048907481561393
2013-07-31,3.38375650426686,3.137730651728276
2013-08-31,4.6320171487154,3.5690073883092697
2013-09-30,5.25627166500339,4.424015105995216
2013-10-31,4.33171910176402,4.7400026384942695
2013-11-30,2.9676896640427,4.185226810270036
2013-12-31,1.73158631069708,3.0103316921679326
2014-01-31,1.17895487560189,1.9594102834472225
2014-02-28,0.98180196716874,1.2974477178225694
2014-03-31,0.602643474459165,0.9211334390765978
2014-04-30,-0.30705173673298,0.4257979016316411
2014-05-31,-0.988625476422274,-0.2310112462320303
2014-06-30,-0.78662217243847,-0.6940997951979085
2014-07-31,0.632073395952458,-0.3810580843027626
2014-08-31,2.55659679338759,0.8006826723005256
2014-09-30,3.69339194075643,2.294020710032159
2014-10-31,3.05533631937165,3.101775017838556
2014-11-30,1.76316606673461,2.8372981089542297
2014-12-31,1.12232420101946,1.980275529041906
2015-01-31,2.1440344292278,1.6765082323272897
2015-02-28,3.94080398712989,2.402387539125716
2015-03-31,5.22914246512692,3.771326960494869
2015-04-30,4.38306921077999,4.517671887678933
2015-05-31,2.6026339448867,4.071615206931203
2015-06-30,1.39730249679148,2.794335217486056
2015-07-31,1.51403007478768,1.8379888388219532
2015-08-31,2.22997436591463,1.7137689791645965
2015-09-30,2.55419375810723,2.0993993996031795
2015-10-31,1.867778121232,2.2173154150846197
2015-11-30,0.991194967055908,1.8043889487983789
2015-12-31,0.723538963004257,1.1941706837640547
2016-01-31,1.81611211439422,1.1769486814847945
2016-02-29,3.76864701168009,2.102766029692855
2016-03-31,5.68071714424282,3.755158756772376
2016-04-30,6.26702234027908,5.238795498733996
2016-05-31,6.10396809099629,6.017235858506062
2016-06-30,5.89169114931142,6.087560526862262
2016-07-31,6.22644890602017,6.074036048775959
2016-08-31,6.29959940401846,6.139246486450016
2016-09-30,5.76410271607865,6.09671700870576
2016-10-31,4.26058937458203,5.441430498226379
2016-11-30,2.45365235234909,4.159448147669923
2016-12-31,1.18260644201008,2.632282722980399
2017-01-31,0.900157290577779,1.5121386949789823
2017-02-28,1.53734554899738,1.2067030938617458
2017-03-31,2.53070256491089,1.656068468162016
2017-04-30,3.4710625300112,2.513036881306489
2017-05-31,3.84905795731368,3.2836076840785893
2017-06-30,3.94519719616458,3.755105894496486
2017-07-31,3.71913955687514,3.8377982367844656
2017-08-31,3.12151920142731,3.595285318155676
2017-09-30,2.18713563783498,3.009264798712476
2017-10-31,0.933664353694972,2.080773064319087
2017-11-30,-0.176920597227018,0.9812931314343109
2017-12-31,-0.53503199473948,0.0739039205761574
2018-01-31,0.146315451358058,-0.18854571353614727
2018-02-28,1.43265561761555,0.34797969141137547
2018-03-31,2.49465008976704,1.3578737195802155
2018-04-30,2.69359572227036,2.2069671432176494
2018-05-31,2.26634532294251,2.4848637116599694
2018-06-30,1.4947411474472,2.1515607308866893
2018-07-31,0.764327255628001,1.5084712420059032
2018-08-31,0.0555086004066062,0.7715256678272685
2018-09-30,-0.647599199903157,0.05741221871048282
2018-10-31,-1.29272597605807,-0.6282721918515408
2018-11-30,-1.76726776042238,-1.2358643121278696
2018-12-31,-1.92591366971036,-1.6619691353969372
2019-01-31,-1.69649741394232,-1.7965596146916873
2019-02-28,-1.12946930058178,-1.583960128078154
2019-03-31,-0.415392977848578,-1.0804532307908932
2019-04-30,0.353714174229326,-0.39704936806701124
