Date,Foreign Exchange Reserves USD mn
1998-07-31,7305.16156029
1998-08-31,7298.06356817
1998-09-30,8192.31871056
1998-10-31,7933.6935522
1998-11-30,7651.49792928
1998-12-31,7107.5
1999-01-31,6549.6
1999-02-28,6274.9
1999-03-31,5507.1
1999-04-30,5115.1
1999-05-31,4988.9
1999-06-30,4772.3
1999-07-31,4708.2
1999-08-31,4971.0
1999-09-30,5032.1
1999-10-31,5343.5
1999-11-30,5021.9
1999-12-31,5424.6
2000-01-31,5789.2
2000-02-29,6494.8
2000-03-31,6682.8
2000-04-30,6692.6
2000-05-31,6786.8
2000-06-30,7272.4
2000-07-31,7634.9
2000-08-31,7958.6
2000-09-30,8118.1
2000-10-31,8788.5
2000-11-30,9484.4
2000-12-31,9386.1
2001-01-31,9705.0
2001-02-28,10016.25
2001-03-31,10787.5
2001-04-30,10176.3
2001-05-31,10353.7
2001-06-30,10166.7
2001-07-31,10389.9
2001-08-31,10204.0
2001-09-30,10563.9
2001-10-31,10581.68
2001-11-30,10117.8
2001-12-31,10267.1
2002-01-31,9668.78
2002-02-28,9768.47
2002-03-31,9546.1
2002-04-30,9403.4
2002-05-31,9226.3
2002-06-30,8674.7
2002-07-31,8143.03
2002-08-31,8089.2
2002-09-30,7424.0
2002-10-31,7741.9
2002-11-30,7737.1
2002-12-31,7681.1
2003-01-31,7134.42
2003-02-28,7655.06
2003-03-31,8226.16
2003-04-30,8216.82
2003-05-31,8269.57
2003-06-30,7673.09
2003-07-31,7643.95
2003-08-31,7448.96
2003-09-30,7170.46
2003-10-31,7305.84
2003-11-30,7489.55
2003-12-31,7467.78
2004-01-31,8323.996
2004-02-29,9352.4
2004-03-31,9684.49
2004-04-30,9975.91
2004-05-31,10083.87
2004-06-30,11441.36
2004-07-31,12228.31
2004-08-31,12482.4
2004-09-30,13222.9
2004-10-31,14657.0
2004-11-30,16345.4
2004-12-31,16955.02
2005-01-31,19592.64
2005-02-28,20554.09
2005-03-31,21807.98
2005-04-30,22210.2
2005-05-31,23290.5
2005-06-30,24367.12
2005-07-31,25161.6
2005-08-31,26951.24
2005-09-30,28638.24
2005-10-31,23921.01
2005-11-30,27075.63
2005-12-31,28279.06
2006-01-31,31317.94
2006-02-28,34319.11
2006-03-31,36201.54
2006-04-30,33063.87
2006-05-31,34094.35
2006-06-30,36479.0
2006-07-31,38074.22
2006-08-31,39247.82
2006-09-30,40457.86
2006-10-31,41477.69
2006-11-30,42441.55
2006-12-31,42298.11
2007-01-31,43510.78
2007-02-28,42550.61
2007-03-31,42633.86
