,Effective Federal Funds Rate: Month Average
Region,United States
Subnational,
Frequency,Monthly
Unit,% pa
Source,Federal Reserve Board
Status,Active
Series ID,42590301 (UMAA)
SR Code,SR660520
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,1954-07
Last Obs. Date,2023-09
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,4.5999896972924175
Variance,12.938635686038708
Standard Deviation,3.5970315102927173
Skewness,1.058908557857558
Kurtosis,1.5594918692979096
Coefficient Variation,0.7819651231849394
Min,0.04863636
Max,19.06545455
Median,4.1695
No. of Obs,831
2016-08,0.39565217
2016-09,0.3947619
2016-10,0.4025
2016-11,0.405
2016-12,0.53571429
2017-01,0.655
2017-02,0.65526316
2017-03,0.78652174
2017-04,0.906
2017-05,0.90636364
2017-06,1.04636364
2017-07,1.1555
2017-08,1.15608696
2017-09,1.155
2017-10,1.15571429
2017-11,1.15571429
2017-12,1.2985
2018-01,1.41619048
2018-02,1.41631579
2018-03,1.50545455
2018-04,1.69238095
2018-05,1.7
2018-06,1.82095238
2018-07,1.91
2018-08,1.91478261
2018-09,1.94894737
2018-10,2.18818182
2018-11,2.199
2018-12,2.267
2019-01,2.4
2019-02,2.4
2019-03,2.40380952
2019-04,2.42318182
2019-05,2.39272727
2019-06,2.3755
2019-07,2.40272727
2019-08,2.125
2019-09,2.0525
2019-10,1.83
2019-11,1.55263158
2019-12,1.55095238
2020-01,1.55190476
2020-02,1.58368421
2020-03,0.62545455
2020-04,0.04863636
2020-05,0.05
2020-06,0.07681818
2020-07,0.09347826
2020-08,0.0947619
2020-09,0.09
2020-10,0.09
2020-11,0.08684211
2020-12,0.09
2021-01,0.08526316
2021-02,0.07578947
2021-03,0.06956522
2021-04,0.06863636
2021-05,0.0595
2021-06,0.07727273
2021-07,0.09857143
2021-08,0.09318182
2021-09,0.07904762
2021-10,0.0795
2021-11,0.0795
2021-12,0.07956522
2022-01,0.08
2022-02,0.08
2022-03,0.19956522
2022-04,0.33
2022-05,0.75857143
2022-06,1.18714286
2022-07,1.6545
2022-08,2.33
2022-09,2.58
2022-10,3.08
2022-11,3.755
2022-12,4.09190476
2023-01,4.33
2023-02,4.56526316
2023-03,4.65304348
2023-04,4.83
2023-05,5.04590909
2023-06,5.07571429
2023-07,5.117
2023-08,5.33
2023-09,5.33
