,Real Effective Exchange Rate Index: Based on Consumer Price Index
Region,Nigeria
Subnational,
Frequency,Monthly
Unit,2010=100
Source,International Monetary Fund
Status,Active
Series ID,227265101
SR Code,SR2854984
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,12/1979
Last Obs. Date,08/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
05/1991,63.08816933
04/1991,64.68799886
03/1991,61.74679111
02/1991,57.33977056
01/1991,60.64633304
12/1990,63.99492206
11/1990,64.53292339
10/1990,66.39653633
09/1990,67.76551638
08/1990,68.37842286
07/1990,70.12440419
06/1990,73.11614579
05/1990,73.57628906
04/1990,75.57795183
03/1990,76.75232353
02/1990,75.43770983
01/1990,77.05232042
12/1989,80.48668262
11/1989,81.09909137
10/1989,81.22225486
09/1989,81.51671418
08/1989,80.48349093
07/1989,80.69849885
06/1989,82.17219614
05/1989,74.11631529
04/1989,70.4206098
03/1989,67.74302468
02/1989,64.53912007
01/1989,71.07286765
12/1988,74.11742958
11/1988,84.04049561
10/1988,89.58884428
09/1988,89.5710042
08/1988,90.44268501
07/1988,88.92462102
06/1988,86.76825238
05/1988,84.66649824
04/1988,86.32042003
03/1988,81.60757716
02/1988,86.00476074
01/1988,81.63005407
12/1987,77.93936119
11/1987,78.12812886
10/1987,80.16107119
09/1987,79.23567679
08/1987,83.308073
07/1987,85.80082536
06/1987,79.56449358
05/1987,79.4308267
04/1987,83.92798096
03/1987,86.54957496
02/1987,93.82891336
01/1987,100.12340511
12/1986,114.46447341
11/1986,104.32769445
10/1986,86.68037261
09/1986,249.74707213
08/1986,267.27960713
07/1986,277.94941637
06/1986,313.84226873
05/1986,336.11461259
04/1986,337.31632548
03/1986,346.94986995
02/1986,362.52258311
01/1986,368.23105605
12/1985,394.23325847
11/1985,413.87585256
10/1985,421.39118882
09/1985,445.22052295
08/1985,446.13090129
07/1985,460.04261299
06/1985,492.13950071
05/1985,503.63123722
04/1985,515.85438001
03/1985,556.42308545
02/1985,568.28976635
01/1985,575.86148113
12/1984,561.9145238
11/1984,552.13572172
10/1984,582.31048486
09/1984,605.20977085
08/1984,576.20388904
07/1984,559.46029268
06/1984,544.54329143
05/1984,550.25782694
04/1984,502.63630492
03/1984,468.69073995
02/1984,464.21167848
01/1984,475.3533592
12/1983,461.30097339
11/1983,432.75372258
10/1983,412.12963441
09/1983,405.27792347
08/1983,397.40323187
07/1983,384.25844564
06/1983,376.84827521
05/1983,374.25751971
04/1983,363.87248367
03/1983,365.01888984
02/1983,351.20895555
01/1983,348.70650001
12/1982,348.05221084
11/1982,347.3122311
10/1982,338.0589744
09/1982,331.89572759
08/1982,325.33219133
07/1982,325.51936923
06/1982,323.910067
05/1982,315.10273072
04/1982,322.05551757
03/1982,324.66191944
02/1982,324.95835227
01/1982,321.46282572
12/1981,323.59273243
11/1981,322.10180931
10/1981,314.43909627
09/1981,316.6698179
08/1981,312.13712154
07/1981,320.81739361
06/1981,316.50127024
05/1981,326.92865384
04/1981,327.92714956
03/1981,317.98703326
02/1981,330.79865186
01/1981,320.07238111
12/1980,308.93602352
11/1980,311.00247243
10/1980,299.95718324
09/1980,294.18089758
08/1980,296.15146021
07/1980,289.58486879
06/1980,268.00456884
05/1980,266.51813674
04/1980,277.3760168
03/1980,284.29507443
02/1980,284.5453707
01/1980,279.99934957
12/1979,277.6298523
