,Real Effective Exchange Rate Index: Based on Consumer Price Index
Region,Romania
Subnational,
Frequency,Monthly
Unit,2010=100
Source,International Monetary Fund
Status,Active
Series ID,230653101
SR Code,SR3286824
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,10/1990
Last Obs. Date,08/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
08/1994,64.36850329
07/1994,62.43387461
06/1994,63.23744883
05/1994,61.34299017
04/1994,60.06932078
03/1994,59.23738301
02/1994,59.73362648
01/1994,60.72497812
12/1993,68.4702695
11/1993,69.29464193
10/1993,66.07002528
09/1993,64.2966233
08/1993,63.29906732
07/1993,59.23675142
06/1993,56.28114988
05/1993,56.52759231
04/1993,45.97080551
03/1993,44.36300386
02/1993,47.05850742
01/1993,46.19414156
12/1992,45.1466714
11/1992,40.67117754
10/1992,35.16692116
09/1992,33.60249167
08/1992,32.57181614
07/1992,33.88977324
06/1992,44.63226871
05/1992,49.25314674
04/1992,51.98179131
03/1992,50.30564256
02/1992,47.03039295
01/1992,39.31867606
12/1991,35.23904768
11/1991,29.59543097
10/1991,95.24753939
09/1991,86.42779443
08/1991,81.4458801
07/1991,72.01854613
06/1991,65.8222675
05/1991,61.44217103
04/1991,61.06744146
03/1991,78.11106628
02/1991,72.61165379
01/1991,68.73321047
12/1990,60.10110964
11/1990,53.89077946
10/1990,81.23169362
