,Real Effective Exchange Rate Index: Based on Consumer Price Index
Region,Poland
Subnational,
Frequency,Monthly
Unit,2010=100
Source,International Monetary Fund
Status,Active
Series ID,230560501
SR Code,SR3286810
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,10/1990
Last Obs. Date,08/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
10/1995,75.05154437
09/1995,74.85140469
08/1995,73.67916908
07/1995,73.0705769
06/1995,73.69358682
05/1995,71.81545665
04/1995,69.55926813
03/1995,69.72677135
02/1995,69.26388526
01/1995,68.89740248
12/1994,69.09623192
11/1994,68.6128531
10/1994,68.35123599
09/1994,67.98478894
08/1994,67.73420032
07/1994,67.01777335
06/1994,66.72392515
05/1994,66.03225125
04/1994,66.29200824
03/1994,65.95256234
02/1994,65.34302519
01/1994,66.1567034
12/1993,66.94924533
11/1993,64.49955238
10/1993,63.19255213
09/1993,62.87958342
08/1993,68.40374256
07/1993,68.08752988
06/1993,66.64586657
05/1993,66.80557727
04/1993,66.04036031
03/1993,66.24052008
02/1993,65.29673174
01/1993,64.04658441
12/1992,65.50370625
11/1992,65.05533416
10/1992,64.67863587
09/1992,63.56216565
08/1992,62.66464954
07/1992,61.05691853
06/1992,60.19215464
05/1992,59.71451871
04/1992,57.93421037
03/1992,56.43160481
02/1992,61.1058578
01/1992,62.24811082
12/1991,62.4293501
11/1991,63.21668511
10/1991,61.94379024
09/1991,61.65382275
08/1991,60.25369076
07/1991,59.50367294
06/1991,58.4777355
05/1991,58.72211955
04/1991,59.9747016
03/1991,55.03136103
02/1991,49.00988464
01/1991,47.06358243
12/1990,44.84710729
11/1990,43.5331936
10/1990,42.25747151
