"Date","Reserves","YoY_change"
"08/31/1974",2133.1,607.801041908617
"09/30/1974",2472.2,773.785035167709
"10/31/1974",2823.6,905.662998183567
"11/30/1974",2969.2,1106.3053546762
"12/31/1974",3452.3,813.355203979047
"01/31/1975",3674.4,722.013422818792
"02/28/1975",3690.3,528.457084468665
"03/31/1975",3757.2,368.303627072168
"04/30/1975",4115.7,299.77659057795
"05/31/1975",3985.1,187.421565091958
"06/30/1975",3789.5,155.219558189655
"07/31/1975",3774.3,100.259988327055
"08/31/1975",3593.8,68.4778022596222
"09/30/1975",3549.4,43.5725264946202
"10/31/1975",3702,31.1092222694433
"11/30/1975",3615,21.7499663208945
"12/31/1975",3583.7,3.80615821336499
"01/31/1976",3569.1,-2.86577400391901
"02/29/1976",3441.3,-6.74741890903179
"03/31/1976",3475.3,-7.50292771212604
"04/30/1976",3881,-5.70255363607648
"05/31/1976",3823.4,-4.05761461443878
"06/30/1976",3773.4,-0.424858160707215
"07/31/1976",3751.2,-0.612034019553304
"08/31/1976",3734.7,3.92064110412376
"09/30/1976",3703.7,4.34721361356848
"10/31/1976",3704.4,0.0648298217179927
"11/30/1976",3344.6,-7.47994467496542
"12/31/1976",3286.3,-8.29868571588023
"01/31/1977",3076.9,-13.7905914656356
"02/28/1977",3220.4,-6.41908581059483
"03/31/1977",3224.7,-7.21088826863869
"04/30/1977",3241.2,-16.4854418964185
"05/31/1977",3159.9,-17.3536642778679
"06/30/1977",3124.3,-17.201992897652
"07/31/1977",2965.2,-20.9532949456174
"08/31/1977",3064.6,-17.9425388920127
"09/30/1977",3051.1,-17.6202176202176
"10/31/1977",2993.7,-19.185293164885
"11/30/1977",3009.7,-10.0131555342941
"12/31/1977",2814.5,-14.356571219913
"01/31/1978",2073.2,-32.6204946537099
"02/28/1978",2676.1,-16.901627127065
"03/31/1978",2470.2,-23.3975253511955
"04/30/1978",2179.7,-32.7502159693941
"05/31/1978",1926.1,-39.0455394158043
"06/30/1978",1840.9,-41.0780014723298
"07/31/1978",1485.8,-49.8920814784837
"08/31/1978",1523.5,-50.2871500358938
"09/30/1978",1315.5,-56.8844023466946
"10/31/1978",1385.5,-53.7194775695627
"11/30/1978",1367.5,-54.5635777652258
"12/31/1978",1298.9,-53.849706875111
"01/31/1979",1200.9,-42.0750530580745
"02/28/1979",1233.4,-53.9105414595867
"03/31/1979",1351.1,-45.3040239656708
"04/30/1979",1231.2,-43.5151626370601
"05/31/1979",1522.2,-20.9698354187218
"06/30/1979",1748.7,-5.00841979466566
"07/31/1979",1910,28.5502759456185
"08/31/1979",2388.6,56.783721693469
"09/30/1979",2628.4,99.8023565184341
"10/31/1979",2858.7,106.329844821364
"11/30/1979",2946.6,115.473491773309
"12/31/1979",3059.8,135.568558010624
"01/31/1980",3072.4,155.84145224415
"02/29/1980",3412.7,176.69044916491
"03/31/1980",3667.1,171.415883354304
"04/30/1980",3970.1,222.457764782326
"05/31/1980",4288,181.697543029825
"06/30/1980",4496.4,157.12815234174
"07/31/1980",4937.6,158.513089005236
"08/31/1980",5206.6,117.977057690698
"09/30/1980",5524,110.165880383503
"10/31/1980",5395,88.7221464301956
"11/30/1980",5374.1,82.3830855901717
"12/31/1980",5462,78.5083992417805
"01/31/1981",5177.9,68.5294883478714
"02/28/1981",5163.6,51.30541799748
"03/31/1981",5572.1,51.9484060974612
"04/30/1981",5283.3,33.0772524621546
"05/31/1981",6123.1,42.7961753731343
"06/30/1981",5515.1,22.6559024997776
"07/31/1981",5268.2,6.69556059624108
"08/31/1981",5105.2,-1.94752813736413
"09/30/1981",4224.8,-23.519188993483
"10/31/1981",3467.8,-35.7219647822057
