Date,CPI yryrl,Bank Lending yryr%,CPI adjusted Bank Lending
2005-02-28,6.512272545699199,1.73337159,4.778900955699199
2005-03-31,5.379665835564168,1.79215502,3.587510815564168
2005-04-30,4.5011605829348005,3.42191543,1.0792451529348006
2005-05-31,4.957081176574501,3.91288049,1.0442006865745013
2005-06-30,4.581431213929159,4.04997991,0.5314513039291588
2005-07-31,4.206282437238638,4.19186139,0.014421047238638351
2005-08-31,4.599578734215829,4.41301082,0.18656791421582852
2005-09-30,3.6929629084910074,4.28491613,-0.5919532215089927
2005-10-31,2.967530030974979,4.25360111,-1.286071079025021
2005-11-30,3.2728530622081564,3.5701068,-0.2972537377918436
2005-12-31,3.084923141548605,4.37149276,-1.2865696184513946
2006-01-31,3.34928014820352,3.45918258,-0.10990243179647985
2006-02-28,3.905723825352645,5.16959481,-1.2638709846473555
2006-03-31,3.612940150763099,5.54772247,-1.9347823192369011
2006-04-30,4.325104199431495,4.39467229,-0.06956809056850499
2006-05-31,5.195657436874191,4.13734826,1.0583091768741903
2006-06-30,7.002034345679712,5.14154999,1.860484355679712
2006-07-31,8.045493039038409,4.44316271,3.6023303290384083
2006-08-31,8.502106429738884,5.60708986,2.8950165697388837
2006-09-30,9.125652027155237,6.27995469,2.8456973371552365
2006-10-31,11.171130662640238,7.57376451,3.5973661526402374
2006-11-30,11.46670749781259,8.87285118,2.593856317812591
2006-12-31,11.6671306803693,8.71152497,2.9556057103693014
2007-01-31,11.727624059078911,9.54290737,2.184716689078911
2007-02-28,11.880473576525016,8.55533032,3.325143256525017
2007-03-31,12.05170725468376,8.68522256,3.366484694683761
2007-04-30,11.049431512936485,9.35325599,1.6961755229364854
2007-05-31,9.559195828285835,11.1602141,-1.6010182717141639
2007-06-30,8.12020353933828,9.16704985,-1.046846310661719
2007-07-31,7.734059872466224,10.94654087,-3.212480997533776
2007-08-31,8.143251068053816,10.53948057,-2.396229501946184
2007-09-30,8.424004038132757,10.54172323,-2.117719191867243
2007-10-31,6.753714576555699,9.94373882,-3.1900242434443014
2007-11-30,6.187560371806752,10.71392987,-4.526369498193247
2007-12-31,6.304991371111206,11.00149738,-4.696506008888794
2008-01-31,10.02343995457706,13.16249856,-3.139058605422939
2008-02-29,11.376608963178242,13.33813648,-1.9615275168217572
2008-03-31,13.418992574398288,15.17131446,-1.7523218856017113
2008-04-30,15.233474630327937,14.21276547,1.020709160327936
2008-05-31,18.08621590576037,11.71253376,6.37368214576037
2008-06-30,18.39951555459633,13.47831495,4.921200604596331
